hospital,drg_code,hospital_size,county,name,price
PeaceHealth St.Joseph Medical Center,71260,Large,Whatcom,Ct Scan Chest With Contrast,3078
PeaceHealth St.Joseph Medical Center,72192,Large,Whatcom,Ct Scan Of Pelvis Without Contrast,1912
PeaceHealth St.Joseph Medical Center,72193,Large,Whatcom,Ct Scan Pelvis With Contrast,2973
PeaceHealth St.Joseph Medical Center,74174,Large,Whatcom,Ct Scan Of Abdomen And Pelvis Blood Vessels,5923
PeaceHealth St.Joseph Medical Center,74176,Large,Whatcom,Ct Scan Of Abdomen And Pelvis Without Contrast,3542
PeaceHealth St.Joseph Medical Center,74177,Large,Whatcom,Ct Scan Of Abdomen And Pelvis With Contrast,4419
PeaceHealth St.Joseph Medical Center,74178,Large,Whatcom,Ct Scan Abdomen And Pelvis Before And After Contrast,5922
PeaceHealth St.Joseph Medical Center,75574,Large,Whatcom,Ct Scan Of Heart Blood Vessels And Grafts With Contrast Dye,5200
PeaceHealth St.Joseph Medical Center,76700,Large,Whatcom,"Ultrasound Abdomen, Complete",928
PeaceHealth St.Joseph Medical Center,76706,Large,Whatcom,Ultrasound Evaluation Of Abdominal Aorta To Detect Bulging (Aneurysm) ,481
PeaceHealth St.Joseph Medical Center,76805,Large,Whatcom,"Ultrasound Pregnant Uterus, Greater Or Equal To 14 Weeks Gestation 1 Fetus",937
PeaceHealth St.Joseph Medical Center,76815,Large,Whatcom,"Ultrasound Pregnant Uterus, Limited, 1 Or More Feutses",614
PeaceHealth St.Joseph Medical Center,76819,Large,Whatcom,"Ultrasound Of Fetus, Biophysical Profile",650
PeaceHealth St.Joseph Medical Center,76830,Large,Whatcom,"Ultrasound Pelvis, Vaginal Approach",646
PeaceHealth St.Joseph Medical Center,76882,Large,Whatcom,"Ultrasound Of Leg Or Arm, Limited Area",394
PeaceHealth St.Joseph Medical Center,93880,Large,Whatcom,Ultrasound Scanning Of Blood Flow (Outside The Brain) On Both Sides Of Head And Neck,1368
PeaceHealth St.Joseph Medical Center,93925,Large,Whatcom,Ultrasound Study Of Arteries And Arterial Grafts Of Both Legs,1576
PeaceHealth St.Joseph Medical Center,93926,Large,Whatcom,Ultrasound Study Of Arteries And Arterial Grafts Of One Leg Or Limited,1016
PeaceHealth St.Joseph Medical Center,93930,Large,Whatcom,Ultrasound Study Of Arteries And Arterial Grafts Of Both Arms,1240
PeaceHealth St.Joseph Medical Center,93931,Large,Whatcom,Ultrasound Study Of Arteries And Arterial Grafts Of One Arm Or Limited,1010
PeaceHealth St.Joseph Medical Center,93970,Large,Whatcom,Ultrasound Scan Of Veins Of Both Arms Or Legs Including Assessment Of Compression And Functional Maneuvers,1554
PeaceHealth St.Joseph Medical Center,93971,Large,Whatcom,Ultrasound Scan Of Veins Of One Arm Or Leg Or Limited Including Assessment Of Compression And Functional Maneuvers,1048
PeaceHealth St.Joseph Medical Center,93978,Large,Whatcom,Ultrasound Scan Of Vena Cava Or Groin Graft Or Vessel Blood Flow,1299
PeaceHealth St.Joseph Medical Center,93979,Large,Whatcom,"Ultrasound Scan Of Blood Flow Of Aorta, Vena Cava, Bypass Graphs, Or One Side Of The Groin Or Limited Scan",829
PeaceHealth St.Joseph Medical Center,90935,Large,Whatcom,Hemodialysis Procedure With One Physician Evaluation,2676
PeaceHealth St.Joseph Medical Center,92960,Large,Whatcom,Electric Cardioversion External,1843
PeaceHealth St.Joseph Medical Center,93005,Large,Whatcom,"Routine Electrocardiogram (Ekg) With Tracing, Using At Least 12 Leads",265
PeaceHealth St.Joseph Medical Center,93017,Large,Whatcom,Cardiovascular Stress Test Monitoring With Intrepretation And Report,1104
PeaceHealth St.Joseph Medical Center,93303,Large,Whatcom,Ultrasound Examination Of Congenital Heart Defect,1842
PeaceHealth St.Joseph Medical Center,93306,Large,Whatcom,"Ultrasound Examination Of Heart Including Color-Depicted Blood Flow Rate, Direction, And Valve Function",2263
PeaceHealth St.Joseph Medical Center,93308,Large,Whatcom,Follow-Up Or Limited Ultrasound Examination Of Heart,935
PeaceHealth St.Joseph Medical Center,93312,Large,Whatcom,Insertion Of Probe In Esophagus For Heart Ultrasound Examination Including Interpretation,2176
PeaceHealth St.Joseph Medical Center,93351,Large,Whatcom,"Ultrasound Examination And Continuous Monitoring Of The Heart Performed During Rest, Exercise, And/Or Drug-Induced Stress With Interpretation And Report",1790
PeaceHealth St.Joseph Medical Center,95816,Large,Whatcom,Measurement Of Brain Wave (Eeg) Activity Greater Than 1 Hour,1104
PeaceHealth St.Joseph Medical Center,33208,Large,Whatcom,Insertion Of Permanent Pacemaker,34578
PeaceHealth St.Joseph Medical Center,33227,Large,Whatcom,Removal And Replacement Of Single Lead Permanent Pacemaker Pulse Generator,25914
PeaceHealth St.Joseph Medical Center,33228,Large,Whatcom,Removal/Replacement Of Lead Pacemaker,34578
PeaceHealth St.Joseph Medical Center,33229,Large,Whatcom,Removal And Replacement Of Multiple Lead Permanent Pacemaker Pulse Generator,61877
PeaceHealth St.Joseph Medical Center,33249,Large,Whatcom,Insertion Or Replacement Pacing Device,107297
PeaceHealth St.Joseph Medical Center,33263,Large,Whatcom,"Removal And Replacement Of Defibrillator Pulse Generator, Dual Lead",76988
PeaceHealth St.Joseph Medical Center,33264,Large,Whatcom,"Removal And Replacement Of Defibrillator Pulse Generator, Multi Lead",107297
PeaceHealth St.Joseph Medical Center,93620,Large,Whatcom,"Insertion Of Catheters For Recording, Pacing, And Attempted Induction Of Abnormal Rhythm In Right Upper And Lower Heart",17841
PeaceHealth St.Joseph Medical Center,93650,Large,Whatcom,Insertion Of Catheters For Creation Of Complete Heart Block,17841
PeaceHealth St.Joseph Medical Center,93653,Large,Whatcom,Evaluation And Insertion Of Catheters For Creation Of Complete Heart Block,67248
PeaceHealth St.Joseph Medical Center,93654,Large,Whatcom,"Evaluation And Insertion Of Catheters For Recording, Pacing, And Attempted Induction Of Heart Rhythm",67248
PeaceHealth St.Joseph Medical Center,93656,Large,Whatcom,"Evaluation And Insertion Of Catheters For Recording, Pacing, And Treatment Of Abnormal Heart Rhythm",67248
PeaceHealth St.Joseph Medical Center,93668,Large,Whatcom,Peripheral Arterial Disease (Pad) Rehabilitation Per Session,198
PeaceHealth St.Joseph Medical Center,96360,Large,Whatcom,Hydration Infusion Into A Vein 31 Minutes To 1 Hour,689
PeaceHealth St.Joseph Medical Center,96361,Large,Whatcom,Hydration Infusion Into A Vein,166
PeaceHealth St.Joseph Medical Center,96365,Large,Whatcom,"Infusion Into A Vein For Therapy, Prevention, Or Diagnosis Up To 1 Hour",663
PeaceHealth St.Joseph Medical Center,96367,Large,Whatcom,Infusion Into A Vein For Therapy Prevention Or Diagnosis Additional Sequential Infusion Up,239
PeaceHealth St.Joseph Medical Center,96372,Large,Whatcom,"Injection Beneath The Skin Or Into Muscle For Therapy, Diagnosis, Or Prevention",209
PeaceHealth St.Joseph Medical Center,96374,Large,Whatcom,"Injection Of Drug Or Substance Into A Vein For Therapy, Diagnosis, Or Prevention",353
PeaceHealth St.Joseph Medical Center,96375,Large,Whatcom,"Injection Of Different Drug Or Substance Into A Vein For Therapy, Diagnosis, Or Prevention",196
PeaceHealth St.Joseph Medical Center,96377,Large,Whatcom,Application Of On-Body Injector For Injection Under Skin,127
PeaceHealth St.Joseph Medical Center,70553,Large,Whatcom,Mri Scan Brain Without And Then With Contrasst,4830
PeaceHealth St.Joseph Medical Center,72148,Large,Whatcom,Mri Scan Lumbar Spine Without Contrast,2991
PeaceHealth St.Joseph Medical Center,72197,Large,Whatcom,Mri Scan Of Pelvis Before And After Contrast,5264
PeaceHealth St.Joseph Medical Center,73721,Large,Whatcom,Mri Scan Of Leg Joint Without Contrast,2675
PeaceHealth St.Joseph Medical Center,75561,Large,Whatcom,Mri Of Heart Before And After Contrast,3418
PeaceHealth St.Joseph Medical Center,59025,Large,Whatcom,Fetal Non-Stress Test,534
PeaceHealth St.Joseph Medical Center,59412,Large,Whatcom,Turning Of Fetus From Breech To Presenting Position,7377
PeaceHealth St.Joseph Medical Center,59820,Large,Whatcom,Treatment Of First Trimester Missed Abortion,7504
PeaceHealth St.Joseph Medical Center,78227,Large,Whatcom,"Nuclear Imaging Of Liver And Bile Duct System, With Pharmaceutical",4633
PeaceHealth St.Joseph Medical Center,78306,Large,Whatcom,Nuclear Imaging Bone And/Or Joint Imaging; Whole Body,2156
PeaceHealth St.Joseph Medical Center,78451,Large,Whatcom,Nuclear Imaging Study Of Vessels Of Heart Using Drugs Or Exercise Single Study,4622
PeaceHealth St.Joseph Medical Center,78452,Large,Whatcom,Nuclear Imaging Study Of Heart Vessles With Drugs Or Exercise,5165
PeaceHealth St.Joseph Medical Center,78709,Large,Whatcom,Nuclear Imaging Study Of Kidney With Assessment Of Blood Flow And Function With And Without Pharm,3454
PeaceHealth St.Joseph Medical Center,78803,Large,Whatcom,Nuclear Imaging Study Of Radioactive Material Distribution,3057
PeaceHealth St.Joseph Medical Center,36415,Large,Whatcom,Blood Draw,60
PeaceHealth St.Joseph Medical Center,36430,Large,Whatcom,Blood Transfusion,1340
PeaceHealth St.Joseph Medical Center,36591,Large,Whatcom,Lab Blood Draw Cvc / Vad,241
PeaceHealth St.Joseph Medical Center,36592,Large,Whatcom,Blood Collection From Established Picc,373
PeaceHealth St.Joseph Medical Center,36593,Large,Whatcom,Declotting Infusion Of Central Venous,879
PeaceHealth St.Joseph Medical Center,80048,Large,Whatcom,"Lab Blood Test, Total Calcium",140
PeaceHealth St.Joseph Medical Center,80053,Large,Whatcom,"Lab Blood Test, Comprehensive Metabolic Panel",191
PeaceHealth St.Joseph Medical Center,80061,Large,Whatcom,Lab Blood Test Lipid,162
PeaceHealth St.Joseph Medical Center,80069,Large,Whatcom,Lab Blood Test Kidney Function,107
PeaceHealth St.Joseph Medical Center,80076,Large,Whatcom,Lab Blood Test Liver Function,88
PeaceHealth St.Joseph Medical Center,80158,Large,Whatcom,Lab Cyclosporine Level,247
PeaceHealth St.Joseph Medical Center,81001,Large,Whatcom,Lab Automated Urinalysis Test With Examination Using Microscope,63
PeaceHealth St.Joseph Medical Center,81002,Large,Whatcom,"Lab Urinalysis, Manual Test",58
PeaceHealth St.Joseph Medical Center,81003,Large,Whatcom,Lab Automated Urinalysis Test Without Microspcope,59
PeaceHealth St.Joseph Medical Center,81206,Large,Whatcom,Lab Translocation Analysis (Bcr/Abl1) Minor Breakpoint,463
PeaceHealth St.Joseph Medical Center,81219,Large,Whatcom,"Lab Gene Analysis (Calreticulin), Common Variants",693
PeaceHealth St.Joseph Medical Center,82728,Large,Whatcom,Lab Ferritin (Blood Protein) Level,141
PeaceHealth St.Joseph Medical Center,83550,Large,Whatcom,Lab Iron Binding Capacity,146
PeaceHealth St.Joseph Medical Center,83735,Large,Whatcom,Lab Magnesium Level,99
PeaceHealth St.Joseph Medical Center,84153,Large,Whatcom,"Lab Prostate Specific Antigen Measurement, Total",148
PeaceHealth St.Joseph Medical Center,84154,Large,Whatcom,"Lab Prostate Specific Antigen Measurement, Free",281
PeaceHealth St.Joseph Medical Center,84443,Large,Whatcom,"Lab Blood Test, Thyroid Stimulating Hormone (Tsh)",177
PeaceHealth St.Joseph Medical Center,84484,Large,Whatcom,"Lab Troponin (Protein) Analysis, Quant",279
PeaceHealth St.Joseph Medical Center,84703,Large,Whatcom,Lab Gonadotropin (Reproductive Hormone) Analysis,154
PeaceHealth St.Joseph Medical Center,85025,Large,Whatcom,"Lab Complete Blood Cell Count (Red Cells, White Blood Cell, Platelets), Automated Test With Wbc Diff",99
PeaceHealth St.Joseph Medical Center,85027,Large,Whatcom,"Lab Complete Blood Cell Count (Red Cells, White Blood Cell, Platelets), Automated Test",70
PeaceHealth St.Joseph Medical Center,85610,Large,Whatcom,Lab Prothrombin Time,77
PeaceHealth St.Joseph Medical Center,85730,Large,Whatcom,"Lab Thromboplastin Time, Partial (Ptt), Plasma Or Whole Bld",102
PeaceHealth St.Joseph Medical Center,86870,Large,Whatcom,Lab Identification Of Red Blood Cell Antibodies,334
PeaceHealth St.Joseph Medical Center,86900,Large,Whatcom,Lab Blood Group Typing (Abo),90
PeaceHealth St.Joseph Medical Center,86923,Large,Whatcom,Lab Blood Unit Compatibility Test Electric,327
PeaceHealth St.Joseph Medical Center,87077,Large,Whatcom,Lab Bacterial Culture For Aerobic Isolates,179
PeaceHealth St.Joseph Medical Center,87497,Large,Whatcom,"Lab Detection Test For Cytomegalovirus, Quantification",807
PeaceHealth St.Joseph Medical Center,87502,Large,Whatcom,Lab Detection Test For Multiple Types Influenza Virus,333
PeaceHealth St.Joseph Medical Center,87631,Large,Whatcom,Lab Detection Test For Multiple Types Of Respiratory Virus 3-5 Targets,580
PeaceHealth St.Joseph Medical Center,88184,Large,Whatcom,"Lab Flow Cytometry Technique For Dna Or Cell Analysis, Tc 1 Marker",293
PeaceHealth St.Joseph Medical Center,88305,Large,Whatcom,"Lab Pathology Examination Of Tissue Using A Microscope, Intermediate Complexity",346
PeaceHealth St.Joseph Medical Center,88307,Large,Whatcom,"Lab Pathology Examination Of Tissue Using A Microscope, Moderately High Complexity",762
PeaceHealth St.Joseph Medical Center,88309,Large,Whatcom,"Lab Pathology Examination Of Tissue Using A Microscope, High Complexity",1062
PeaceHealth St.Joseph Medical Center,88333,Large,Whatcom,Lab Pathology Examination Of Tissue Specimen During Surgery,574
PeaceHealth St.Joseph Medical Center,92507,Large,Whatcom,"Treatment Of Speech, Language, Voice, Communication, And/Or Hearing Processing",229
PeaceHealth St.Joseph Medical Center,92522,Large,Whatcom,Evaluation Of Speech Sound Production,325
PeaceHealth St.Joseph Medical Center,92523,Large,Whatcom,Evaluation Of Speech Sound Production With Evaluation Of Language Comprehension,305
PeaceHealth St.Joseph Medical Center,92524,Large,Whatcom,Behavioral And Qualitative Analysis Of Voice And Resonance,358
PeaceHealth St.Joseph Medical Center,92526,Large,Whatcom,Treatment Of Swallowing And/Or Oral Feeding Function,386
PeaceHealth St.Joseph Medical Center,92610,Large,Whatcom,Evaluation Of Swallowing Function,379
PeaceHealth St.Joseph Medical Center,97110,Large,Whatcom,"Therapeutic Exercise To Develop Strength, Endurance, Range Of Motion, And Flexibility,",125
PeaceHealth St.Joseph Medical Center,97112,Large,Whatcom,"Therapeutic Procedure To Re-Educate Brain-To-Nerve-To-Muscle Function, Each 15 Minutes",125
PeaceHealth St.Joseph Medical Center,97113,Large,Whatcom,"Water Pool Therapy With Therapeutic Exercises To 1 Or More Areas, Each 15 Minutes",147
PeaceHealth St.Joseph Medical Center,97116,Large,Whatcom,"Walking Training To 1 Or More Areas, Each 15 Minutes",108
PeaceHealth St.Joseph Medical Center,97140,Large,Whatcom,"Manual (Physical) Therapy Techniques To 1 Or More Regions, Each 15 Minutes",130
PeaceHealth St.Joseph Medical Center,97161,Large,Whatcom,Physical Therapy Evaluation Typically 20 Minutes,303
PeaceHealth St.Joseph Medical Center,97162,Large,Whatcom,Physical Therapy Evaluation Typically 30 Minutes,312
PeaceHealth St.Joseph Medical Center,97163,Large,Whatcom,Physical Therapy Evaluation Typically 45 Minutes,363
PeaceHealth St.Joseph Medical Center,97164,Large,Whatcom,"Re-Evaluation Of Physical Therapy, Typically 20 Minutes",206
PeaceHealth St.Joseph Medical Center,97165,Large,Whatcom,"Evaluation Of Occupational Therapy, Typically 45 Minutes",325
PeaceHealth St.Joseph Medical Center,97166,Large,Whatcom,"Evaluation Of Occupational Therapy, Typically 30 Minutes",364
PeaceHealth St.Joseph Medical Center,97530,Large,Whatcom,"Therapeutic Activities To Improve Function, With One-On-One Contact Between Patient And Provider, Each 15 Minutes",146
PeaceHealth St.Joseph Medical Center,97535,Large,Whatcom,"Self-Care Or Home Management Training, Each 15 Minutes",122
PeaceHealth St.Joseph Medical Center,97542,Large,Whatcom,"Wheelchair Management, Each 15 Minutes",149
PeaceHealth St.Joseph Medical Center,97760,Large,Whatcom,"Evaluation Of Orthotic Or Prosthetic Use, Each 15 Minutes",170
PeaceHealth St.Joseph Medical Center,33270,Large,Whatcom,Insertion Or Replacement Of Defibrillator With Electrode,44517
PeaceHealth St.Joseph Medical Center,33285,Large,Whatcom,Insertion Of Heart Rhythm Monitor Under Skin,27695
PeaceHealth St.Joseph Medical Center,33286,Large,Whatcom,Removal Of Heart Rhythm Monitor From Under Skin,2528
PeaceHealth St.Joseph Medical Center,36475,Large,Whatcom,"Destruction Of Insufficient Vein Of Arm Or Leg, Accessed Through The Skin",11452
PeaceHealth St.Joseph Medical Center,36558,Large,Whatcom,Insertion Tunneled Central Venous Catheter Without Port Or Pump,8021
PeaceHealth St.Joseph Medical Center,36561,Large,Whatcom,Insertion Tunneled Central Venous Catheter With Port Or Pump,12805
PeaceHealth St.Joseph Medical Center,36573,Large,Whatcom,"Insertion Of Peripherally Inserted Central Venous Catheter For Infusion Using Imaging Guidance, Patient 5 Years Or Older",4091
PeaceHealth St.Joseph Medical Center,36589,Large,Whatcom,Removal Tunneled Central Venous Catheter Without Port Or Pump,1132
PeaceHealth St.Joseph Medical Center,36590,Large,Whatcom,Removal Tunneled Central Venous Catheter With Port Or Pump,2316
PeaceHealth St.Joseph Medical Center,36600,Large,Whatcom,Lab Arterial Blood Collection,429
PeaceHealth St.Joseph Medical Center,36901,Large,Whatcom,"Insertion Of Needle And/Or Catheter Into Dialysis Circuit, With Imaging Including Radiological Supervision And Interpretation",2421
PeaceHealth St.Joseph Medical Center,36902,Large,Whatcom,Insertion Catheter Into Dialysis Circuit,17069
PeaceHealth St.Joseph Medical Center,37221,Large,Whatcom,"Insertion Of Stents In Artery In One Side Of Groin, Endovascular, Accessed Through The Skin Or Open Procedure ",20897
PeaceHealth St.Joseph Medical Center,37226,Large,Whatcom,"Insertion Of Stents Into Arteries In One Leg, Endovascular, Accessed Through The Skin Or Open Procedure",46565
PeaceHealth St.Joseph Medical Center,37228,Large,Whatcom,"Balloon Dilation Of Artery Of One Leg, Endovascular, Accessed Through The Skin Or Open Procedure ",24277
PeaceHealth St.Joseph Medical Center,37236,Large,Whatcom,"Insertion Of Intravascular Stents In Artery (Except Lower Extremity, Cervical Carotid, Extracranial Vertebral Or Intrathoracic Carotid, Intracranial, Or Coronary), Open Or Accessed Through The Skin, With Radiological Supervision And Interpretation ",17393
PeaceHealth St.Joseph Medical Center,37242,Large,Whatcom,"Occlusion Of Artery (Other Than Hemorrhage Or Tumor) With Radiological Supervision And And Interpretation, Roadmapping, And Imaging Guidance",19480
PeaceHealth St.Joseph Medical Center,92920,Large,Whatcom,"Balloon Dilation Of Narrowed Or Blocked Major Coronary Artery Or Branch (Accessed Through The Skin), Each Additional Artery Or Branch ",16375
PeaceHealth St.Joseph Medical Center,92943,Large,Whatcom,"Insertion Of Stent, Removal Of Plaque And/Or Balloon Dilation Of Coronary Vessel, Chronic Occlusion Single",19867
PeaceHealth St.Joseph Medical Center,93580,Large,Whatcom,"Transcatheter Based Closure Of Congenital Heart Defect With Implant, Accessed Through The Skin",33819
PeaceHealth St.Joseph Medical Center,47000,Large,Whatcom,"Needle Biopsy Of Liver, Accessed Through The Skin",3819
PeaceHealth St.Joseph Medical Center,49083,Large,Whatcom,"Drainage Of Fluid From Abdominal Cavity, With Imaging Guidance",3126
PeaceHealth St.Joseph Medical Center,38505,Large,Whatcom,Needle Biopsy Or Removal Of Lymph Nodes,1615
PeaceHealth St.Joseph Medical Center,10060,Large,Whatcom,"Drainage Of Skin Abscess, Simple",482
PeaceHealth St.Joseph Medical Center,10061,Large,Whatcom,"Drainage Of Skin Abscess, Complicated",932
PeaceHealth St.Joseph Medical Center,10120,Large,Whatcom,"Removal Of Foreign Body From Tissue, Accessed Beneath The Skin Simple",824
PeaceHealth St.Joseph Medical Center,12001,Large,Whatcom,"Repair Of Wound (2.5 Centimeters Or Less) Of The Scalp, Neck, Underarms, Trunk, Arms",482
PeaceHealth St.Joseph Medical Center,12002,Large,Whatcom,"Repair Of Wound (2.6 To 7.5 Centimeters) Of The Scalp, Neck, Underarms, Genitals, Trunk, Arms And/Or Legs",482
PeaceHealth St.Joseph Medical Center,12004,Large,Whatcom,"Repair Of Wound (7.6 To 12.5 Centimeters) Of The Scalp, Neck, Underarms, Genitals, Trunk, Arms And/Or Legs",482
PeaceHealth St.Joseph Medical Center,12005,Large,Whatcom,"Repair Of Wound (12.6 To 20.0 Centimeters) Of The Scalp, Neck, Underarms, Genitals, Trunk, Arms And/Or Legs",540
PeaceHealth St.Joseph Medical Center,12011,Large,Whatcom,"Repair Of Wound (2.5 Centimeters Or Less) Of The Face, Ears, Eyelids, Nose, Lips, And/Or",482
PeaceHealth St.Joseph Medical Center,12013,Large,Whatcom,"Repair Of Wound (2.6 To 5.0 Centimeters) Of The Face, Ears, Eyelids, Nose, Lips, And/Or",482
PeaceHealth St.Joseph Medical Center,55700,Large,Whatcom,Biopsy Of Prostate Gland,6836
PeaceHealth St.Joseph Medical Center,20206,Large,Whatcom,"Needle Biopsy Of Muscle, Accessed Through The Skin",2272
PeaceHealth St.Joseph Medical Center,20611,Large,Whatcom,Aspiration And/Or Injection Of Major Joint Or Joint Capsule With Recording And Reporting Using Ultrasound Guidance,598
PeaceHealth St.Joseph Medical Center,29105,Large,Whatcom,Arm Splint,486
PeaceHealth St.Joseph Medical Center,29125,Large,Whatcom,"Arm Splint, Forearm To Hand",374
PeaceHealth St.Joseph Medical Center,29130,Large,Whatcom,Finger Splint,230
PeaceHealth St.Joseph Medical Center,29515,Large,Whatcom,Short Leg Splint,486
PeaceHealth St.Joseph Medical Center,30901,Large,Whatcom,"Control Nosebleed, Anterior, Simple",440
PeaceHealth St.Joseph Medical Center,31575,Large,Whatcom,Diagnostic Exam Of Voice Box,578
PeaceHealth St.Joseph Medical Center,62323,Large,Whatcom,Injection Of Substance Into Spinal Canal Of Lower Back Or Sacrum Using Imaging Guidance,1888
PeaceHealth St.Joseph Medical Center,64400,Large,Whatcom,Injection Of Anesthetic Agent Trigeminal Nerve,915
PeaceHealth St.Joseph Medical Center,64450,Large,Whatcom,"Injection Of Anesthetic Agent, Other Peripheral Nerve Or Branch",915
PeaceHealth St.Joseph Medical Center,64483,Large,Whatcom,"Injection(S), Anesthetic Agent And/Or Steroid, Transforaminal Epidural, With Imaging Guidance (Fluoroscopy Or Ct); Lumbar Or Sacral, Single Level",1826
PeaceHealth St.Joseph Medical Center,95992,Large,Whatcom,"Repositioning Maneuvers For Treatment Of Vertigo, Per Day",169
PeaceHealth St.Joseph Medical Center,96105,Large,Whatcom,Assessment Of Expressive And Receptive Speech With Interpretation And Report Per Hour,441
PeaceHealth St.Joseph Medical Center,51702,Large,Whatcom,Insertion Of Bladder Catheter,422
PeaceHealth St.Joseph Medical Center,51798,Large,Whatcom,Ultrasound Measurement,156
PeaceHealth St.Joseph Medical Center,94640,Large,Whatcom,Respiratory Inhaled Pressure Or Nonpressure Treatment To Relieve Airway Obstruction Or For Sputum Specimen,294
PeaceHealth St.Joseph Medical Center,94644,Large,Whatcom,"Respiratory Inhaled Aerosol Treatment To Relieve Airway Obstruction, First Hour ",264
PeaceHealth St.Joseph Medical Center,94660,Large,Whatcom,Initiation And Management Of Continued Pressured Respiratory Assistance By Mask Or Breathing Tube ,1011
PeaceHealth St.Joseph Medical Center,94667,Large,Whatcom,Demonstration And/Or Evaluation Of Manual Maneuvers To Chest Wall To Assist Movement Of Lung Secretions,350
PeaceHealth St.Joseph Medical Center,94668,Large,Whatcom,Manual Maneuvers To Chest Wall To Assist Movement Of Lung Secretions ,131
PeaceHealth St.Joseph Medical Center,77290,Large,Whatcom,"Radiation Oncology Management Of Radiation Therapy, Simulation, Complex",2981
PeaceHealth St.Joseph Medical Center,77295,Large,Whatcom,"Radiation Oncology Management Of Radiation Therapy, 3D",11964
PeaceHealth St.Joseph Medical Center,77300,Large,Whatcom,Radiation Oncology Calculation Of Radiation Therapy,729
PeaceHealth St.Joseph Medical Center,77301,Large,Whatcom,Radiation Oncology Management Of Modulation Radiotherapy Planning,9801
PeaceHealth St.Joseph Medical Center,77307,Large,Whatcom,"Radiation Oncology Radiation Therapy Plan, Complex Teletherapy",1408
PeaceHealth St.Joseph Medical Center,77331,Large,Whatcom,Radiation Oncology Special Radiation Therapy Planning,541
PeaceHealth St.Joseph Medical Center,77334,Large,Whatcom,Radiation Oncology Radiation Treatment Devices,1792
PeaceHealth St.Joseph Medical Center,77373,Large,Whatcom,Radiation Oncology Stereotactic Body Radiation Therapy 1 Or More Lesions Using Imaging Guidance,11895
