hospital,county,hospital_size,drg_code,name,price
Arbor Health,Lewis,Medium,388,GASTROINTESTINAL OBSTRUCTION WITH MCC,26401.2
Arbor Health,Lewis,Medium,389,GASTROINTESTINAL OBSTRUCTION WITH CC,10826.3995
Arbor Health,Lewis,Medium,390,GASTROINTESTINAL OBSTRUCTION WITHOUT CC/MCC,27745.0
Arbor Health,Lewis,Medium,392,"ESOPHAGITIS, GASTROENTERITIS AND MISCELLANEOUS DIGESTIVE DISORDERS WITHOUT MCC",13610.8
Arbor Health,Lewis,Medium,416,CHOLECYSTECTOMY EXCEPT BY LAPAROSCOPE WITHOUT C.D.E. WITHOUT CC/MCC,56631.45
Arbor Health,Lewis,Medium,433,CIRRHOSIS AND ALCOHOLIC HEPATITIS WITH CC,28800.35
Arbor Health,Lewis,Medium,438,DISORDERS OF PANCREAS EXCEPT MALIGNANCY WITH MCC,15188.0
Arbor Health,Lewis,Medium,439,DISORDERS OF PANCREAS EXCEPT MALIGNANCY WITH CC,16672.0
Arbor Health,Lewis,Medium,440,DISORDERS OF PANCREAS EXCEPT MALIGNANCY WITHOUT CC/MCC,18366.9
Arbor Health,Lewis,Medium,536,FRACTURES OF HIP AND PELVIS WITHOUT MCC,18284.4
Arbor Health,Lewis,Medium,563,"FRACTURE, SPRAIN, STRAIN AND DISLOCATION EXCEPT FEMUR, HIP, PELVIS AND THIGH WITHOUT MCC",33103.5
Arbor Health,Lewis,Medium,603,CELLULITIS WITHOUT MCC,34808.8
Arbor Health,Lewis,Medium,605,"TRAUMA TO THE SKIN, SUBCUTANEOUS TISSUE AND BREAST WITHOUT MCC",4538.5
Arbor Health,Lewis,Medium,641,"MISCELLANEOUS DISORDERS OF NUTRITION, METABOLISM, FLUIDS AND ELECTROLYTES WITHOUT MCC",17868.0
Arbor Health,Lewis,Medium,683,RENAL FAILURE WITH CC,4388.6
Arbor Health,Lewis,Medium,690,KIDNEY AND URINARY TRACT INFECTIONS WITHOUT MCC,16192.1
Arbor Health,Lewis,Medium,812,RED BLOOD CELL DISORDERS WITHOUT MCC,14939.4
Arbor Health,Lewis,Medium,871,SEPTICEMIA OR SEVERE SEPSIS WITHOUT MV >96 HOURS WITH MCC,34248.5
Arbor Health,Lewis,Medium,872,SEPTICEMIA OR SEVERE SEPSIS WITHOUT MV >96 HOURS WITHOUT MCC,16038.2
Arbor Health,Lewis,Medium,918,POISONING AND TOXIC EFFECTS OF DRUGS WITHOUT MCC,20935.8
Arbor Health,Lewis,Medium,947,SIGNS AND SYMPTOMS WITH MCC,30948.4
Arbor Health,Lewis,Medium,948,SIGNS AND SYMPTOMS WITHOUT MCC,18039.1
Arbor Health,Lewis,Medium,951,OTHER FACTORS INFLUENCING HEALTH STATUS,19733.2331
Forks Community Hospital,Clallam,Medium,57,DEGENERATIVE NERVOUS SYSTEM DISORDERS WITHOUT MCC,21489.79
Forks Community Hospital,Clallam,Medium,64,INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION WITH MCC,26003.67
Forks Community Hospital,Clallam,Medium,65,INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION WITH CC OR TPA IN 24 HOURS,14421.24
Forks Community Hospital,Clallam,Medium,66,INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION WITHOUT CC/MCC,14616.22
Forks Community Hospital,Clallam,Medium,69,TRANSIENT ISCHEMIA WITHOUT THROMBOLYTIC,6981.12
Forks Community Hospital,Clallam,Medium,70,NONSPECIFIC CEREBROVASCULAR DISORDERS WITH MCC,24271.81
Forks Community Hospital,Clallam,Medium,100,SEIZURES WITH MCC,22420.05
Forks Community Hospital,Clallam,Medium,155,"OTHER EAR, NOSE, MOUTH AND THROAT DIAGNOSES WITH CC",26999.24
Forks Community Hospital,Clallam,Medium,176,PULMONARY EMBOLISM WITHOUT MCC,16128.175
Forks Community Hospital,Clallam,Medium,178,RESPIRATORY INFECTIONS AND INFLAMMATIONS WITH CC,20986.7264
Forks Community Hospital,Clallam,Medium,181,RESPIRATORY NEOPLASMS WITH CC,15800.7629
Forks Community Hospital,Clallam,Medium,186,PLEURAL EFFUSION WITH MCC,17528.59
Forks Community Hospital,Clallam,Medium,189,PULMONARY EDEMA AND RESPIRATORY FAILURE,16739.56
Forks Community Hospital,Clallam,Medium,190,CHRONIC OBSTRUCTIVE PULMONARY DISEASE WITH MCC,27846.4956
Forks Community Hospital,Clallam,Medium,191,CHRONIC OBSTRUCTIVE PULMONARY DISEASE WITH CC,24584.2798
Forks Community Hospital,Clallam,Medium,192,CHRONIC OBSTRUCTIVE PULMONARY DISEASE WITHOUT CC/MCC,18805.34
Forks Community Hospital,Clallam,Medium,194,SIMPLE PNEUMONIA AND PLEURISY WITH CC,21919.32
Forks Community Hospital,Clallam,Medium,202,BRONCHITIS AND ASTHMA WITH CC/MCC,24201.45
Forks Community Hospital,Clallam,Medium,280,"ACUTE MYOCARDIAL INFARCTION, DISCHARGED ALIVE WITH MCC",22847.8294
Forks Community Hospital,Clallam,Medium,283,"ACUTE MYOCARDIAL INFARCTION, EXPIRED WITH MCC",4580.05
Forks Community Hospital,Clallam,Medium,291,HEART FAILURE AND SHOCK WITH MCC,25355.07
Forks Community Hospital,Clallam,Medium,292,HEART FAILURE AND SHOCK WITH CC,17217.2875
Forks Community Hospital,Clallam,Medium,293,HEART FAILURE AND SHOCK WITHOUT CC/MCC,26293.12
Forks Community Hospital,Clallam,Medium,300,PERIPHERAL VASCULAR DISORDERS WITH CC,15736.1
Forks Community Hospital,Clallam,Medium,303,ATHEROSCLEROSIS WITHOUT MCC,11489.075
Forks Community Hospital,Clallam,Medium,308,CARDIAC ARRHYTHMIA AND CONDUCTION DISORDERS WITH MCC,21413.85
Forks Community Hospital,Clallam,Medium,309,CARDIAC ARRHYTHMIA AND CONDUCTION DISORDERS WITH CC,10506.995
Forks Community Hospital,Clallam,Medium,312,SYNCOPE AND COLLAPSE,23516.09
Forks Community Hospital,Clallam,Medium,313,CHEST PAIN,9335.77
Forks Community Hospital,Clallam,Medium,327,"STOMACH, ESOPHAGEAL AND DUODENAL PROCEDURES WITH CC",18718.67
Forks Community Hospital,Clallam,Medium,335,PERITONEAL ADHESIOLYSIS WITH MCC,34577.97
Forks Community Hospital,Clallam,Medium,374,DIGESTIVE MALIGNANCY WITH MCC,24999.8
Forks Community Hospital,Clallam,Medium,390,GASTROINTESTINAL OBSTRUCTION WITHOUT CC/MCC,7984.6
Forks Community Hospital,Clallam,Medium,392,"ESOPHAGITIS, GASTROENTERITIS AND MISCELLANEOUS DIGESTIVE DISORDERS WITHOUT MCC",12960.82
Forks Community Hospital,Clallam,Medium,394,OTHER DIGESTIVE SYSTEM DIAGNOSES WITH CC,13841.02
Forks Community Hospital,Clallam,Medium,440,DISORDERS OF PANCREAS EXCEPT MALIGNANCY WITHOUT CC/MCC,16768.293
Forks Community Hospital,Clallam,Medium,442,"DISORDERS OF LIVER EXCEPT MALIGNANCY, CIRRHOSIS OR ALCOHOLIC HEPATITIS WITH CC",16406.3429
Forks Community Hospital,Clallam,Medium,443,"DISORDERS OF LIVER EXCEPT MALIGNANCY, CIRRHOSIS OR ALCOHOLIC HEPATITIS WITHOUT CC/MCC",7662.11
Forks Community Hospital,Clallam,Medium,470,MAJOR HIP AND KNEE JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY WITHOUT MCC,89218.72
Forks Community Hospital,Clallam,Medium,536,FRACTURES OF HIP AND PELVIS WITHOUT MCC,13014.0828
Forks Community Hospital,Clallam,Medium,560,"AFTERCARE, MUSCULOSKELETAL SYSTEM AND CONNECTIVE TISSUE WITH CC",32472.735
Forks Community Hospital,Clallam,Medium,562,"FRACTURE, SPRAIN, STRAIN AND DISLOCATION EXCEPT FEMUR, HIP, PELVIS AND THIGH WITH MCC",20892.98
Forks Community Hospital,Clallam,Medium,596,MAJOR SKIN DISORDERS WITHOUT MCC,4676.4
Forks Community Hospital,Clallam,Medium,603,CELLULITIS WITHOUT MCC,16281.986
Forks Community Hospital,Clallam,Medium,638,DIABETES WITH CC,18640.8861
Forks Community Hospital,Clallam,Medium,640,"MISCELLANEOUS DISORDERS OF NUTRITION, METABOLISM, FLUIDS AND ELECTROLYTES WITH MCC",21278.85
Forks Community Hospital,Clallam,Medium,641,"MISCELLANEOUS DISORDERS OF NUTRITION, METABOLISM, FLUIDS AND ELECTROLYTES WITHOUT MCC",30931.05
Forks Community Hospital,Clallam,Medium,644,ENDOCRINE DISORDERS WITH CC,20675.7
Forks Community Hospital,Clallam,Medium,645,ENDOCRINE DISORDERS WITHOUT CC/MCC,11440.95
Forks Community Hospital,Clallam,Medium,683,RENAL FAILURE WITH CC,15668.695
Forks Community Hospital,Clallam,Medium,690,KIDNEY AND URINARY TRACT INFECTIONS WITHOUT MCC,26837.9842
Forks Community Hospital,Clallam,Medium,794,NEONATE WITH OTHER SIGNIFICANT PROBLEMS,2159.1772
Forks Community Hospital,Clallam,Medium,795,NORMAL NEWBORN,2152.3116
Forks Community Hospital,Clallam,Medium,812,RED BLOOD CELL DISORDERS WITHOUT MCC,16613.86
Forks Community Hospital,Clallam,Medium,841,LYMPHOMA AND NON-ACUTE LEUKEMIA WITH CC,20333.97
Forks Community Hospital,Clallam,Medium,863,POSTOPERATIVE AND POST-TRAUMATIC INFECTIONS WITHOUT MCC,20550.86
Forks Community Hospital,Clallam,Medium,871,SEPTICEMIA OR SEVERE SEPSIS WITHOUT MV >96 HOURS WITH MCC,21038.8828
Forks Community Hospital,Clallam,Medium,872,SEPTICEMIA OR SEVERE SEPSIS WITHOUT MV >96 HOURS WITHOUT MCC,32216.3749
Forks Community Hospital,Clallam,Medium,884,ORGANIC DISTURBANCES AND INTELLECTUAL DISABILITY,17813.74
Forks Community Hospital,Clallam,Medium,909,OTHER O.R. PROCEDURES FOR INJURIES WITHOUT CC/MCC,3974.58
Forks Community Hospital,Clallam,Medium,918,POISONING AND TOXIC EFFECTS OF DRUGS WITHOUT MCC,5068.63
Forks Community Hospital,Clallam,Medium,947,SIGNS AND SYMPTOMS WITH MCC,15828.705
Forks Community Hospital,Clallam,Medium,948,SIGNS AND SYMPTOMS WITHOUT MCC,17626.282
East Adams Rural Healthcare,Adams,Medium,190,CHRONIC OBSTRUCTIVE PULMONARY DISEASE WITH MCC,3331.0
East Adams Rural Healthcare,Adams,Medium,194,SIMPLE PNEUMONIA AND PLEURISY WITH CC,18169.0
East Adams Rural Healthcare,Adams,Medium,292,HEART FAILURE AND SHOCK WITH CC,18388.0
East Adams Rural Healthcare,Adams,Medium,603,CELLULITIS WITHOUT MCC,3866.0
East Adams Rural Healthcare,Adams,Medium,690,KIDNEY AND URINARY TRACT INFECTIONS WITHOUT MCC,13133.9997
East Adams Rural Healthcare,Adams,Medium,811,RED BLOOD CELL DISORDERS WITH MCC,7407.0
East Adams Rural Healthcare,Adams,Medium,872,SEPTICEMIA OR SEVERE SEPSIS WITHOUT MV >96 HOURS WITHOUT MCC,8232.0
East Adams Rural Healthcare,Adams,Medium,948,SIGNS AND SYMPTOMS WITHOUT MCC,7251.0
Fairfax Behaviroal Heath Everett,Snohomish,,1,HEART TRANSPLANT OR IMPLANT OF HEART ASSIST SYSTEM W MCC,178938.0
Fairfax Behaviroal Heath Everett,Snohomish,,2,HEART TRANSPLANT OR IMPLANT OF HEART ASSIST SYSTEM W/O MCC,90743.0
Fairfax Behaviroal Heath Everett,Snohomish,,3,"ECMO OR TRACH W MV >96 HRS OR PDX EXC FACE, MOUTH & NECK W MAJ O.R.",122732.0
Fairfax Behaviroal Heath Everett,Snohomish,,4,"TRACH W MV >96 HRS OR PDX EXC FACE, MOUTH & NECK W/O MAJ O.R.",74750.0
Fairfax Behaviroal Heath Everett,Snohomish,,7,LUNG TRANSPLANT,69845.0
Fairfax Behaviroal Heath Everett,Snohomish,,11,"TRACHEOSTOMY FOR FACE, MOUTH & NECK DIAGNOSES OR LARYNGECTOMY W MCC",32013.0
Fairfax Behaviroal Heath Everett,Snohomish,,12,"TRACHEOSTOMY FOR FACE, MOUTH & NECK DIAGNOSES OR LARYNGECTOMY W CC",24438.0
Fairfax Behaviroal Heath Everett,Snohomish,,13,"TRACHEOSTOMY FOR FACE, MOUTH & NECK DIAGNOSES OR LARYNGECTOMY W/O CC/MCC",15705.0
Fairfax Behaviroal Heath Everett,Snohomish,,20,INTRACRANIAL VASCULAR PROCEDURES W PDX HEMORRHAGE W MCC,70069.0
Fairfax Behaviroal Heath Everett,Snohomish,,21,INTRACRANIAL VASCULAR PROCEDURES W PDX HEMORRHAGE W CC,53575.0
Fairfax Behaviroal Heath Everett,Snohomish,,22,INTRACRANIAL VASCULAR PROCEDURES W PDX HEMORRHAGE W/O CC/MCC,31935.0
Fairfax Behaviroal Heath Everett,Snohomish,,23,CRANIOTOMY W MAJOR DEVICE IMPLANT OR ACUTE COMPLEX CNS PDX W MCC OR CHEMOTHERAPY IMPLANT OR EPILEPSY W NEUROSTIMULATOR,36372.0
Fairfax Behaviroal Heath Everett,Snohomish,,24,CRANIO W MAJOR DEV IMPL/ACUTE COMPLEX CNS PDX W/O MCC,26008.0
Fairfax Behaviroal Heath Everett,Snohomish,,25,CRANIOTOMY & ENDOVASCULAR INTRACRANIAL PROCEDURES W MCC,28456.0
Fairfax Behaviroal Heath Everett,Snohomish,,26,CRANIOTOMY & ENDOVASCULAR INTRACRANIAL PROCEDURES W CC,19722.0
Fairfax Behaviroal Heath Everett,Snohomish,,27,CRANIOTOMY & ENDOVASCULAR INTRACRANIAL PROCEDURES W/O CC/MCC,15519.0
Fairfax Behaviroal Heath Everett,Snohomish,,28,SPINAL PROCEDURES W MCC,36200.0
Fairfax Behaviroal Heath Everett,Snohomish,,29,SPINAL PROCEDURES W CC OR SPINAL NEUROSTIMULATORS,20766.0
Fairfax Behaviroal Heath Everett,Snohomish,,30,SPINAL PROCEDURES W/O CC/MCC,14713.0
Fairfax Behaviroal Heath Everett,Snohomish,,31,VENTRICULAR SHUNT PROCEDURES W MCC,28326.0
Fairfax Behaviroal Heath Everett,Snohomish,,32,VENTRICULAR SHUNT PROCEDURES W CC,14195.0
Fairfax Behaviroal Heath Everett,Snohomish,,33,VENTRICULAR SHUNT PROCEDURES W/O CC/MCC,11014.0
Fairfax Behaviroal Heath Everett,Snohomish,,34,CAROTID ARTERY STENT PROCEDURE W MCC,24306.0
Fairfax Behaviroal Heath Everett,Snohomish,,35,CAROTID ARTERY STENT PROCEDURE W CC,14907.0
Fairfax Behaviroal Heath Everett,Snohomish,,36,CAROTID ARTERY STENT PROCEDURE W/O CC/MCC,11338.0
Fairfax Behaviroal Heath Everett,Snohomish,,37,EXTRACRANIAL PROCEDURES W MCC,21001.0
Fairfax Behaviroal Heath Everett,Snohomish,,38,EXTRACRANIAL PROCEDURES W CC,10847.0
Fairfax Behaviroal Heath Everett,Snohomish,,39,EXTRACRANIAL PROCEDURES W/O CC/MCC,7326.0
Fairfax Behaviroal Heath Everett,Snohomish,,40,PERIPH/CRANIAL NERVE & OTHER NERV SYST PROC W MCC,25515.0
Fairfax Behaviroal Heath Everett,Snohomish,,41,PERIPH/CRANIAL NERVE & OTHER NERV SYST PROC W CC OR PERIPH NEUROSTIM,15356.0
Fairfax Behaviroal Heath Everett,Snohomish,,42,PERIPH/CRANIAL NERVE & OTHER NERV SYST PROC W/O CC/MCC,11968.0
Fairfax Behaviroal Heath Everett,Snohomish,,52,SPINAL DISORDERS & INJURIES W CC/MCC,10548.0
Fairfax Behaviroal Heath Everett,Snohomish,,53,SPINAL DISORDERS & INJURIES W/O CC/MCC,6256.0
Fairfax Behaviroal Heath Everett,Snohomish,,54,NERVOUS SYSTEM NEOPLASMS W MCC,8678.0
Fairfax Behaviroal Heath Everett,Snohomish,,55,NERVOUS SYSTEM NEOPLASMS W/O MCC,6385.0
Fairfax Behaviroal Heath Everett,Snohomish,,56,DEGENERATIVE NERVOUS SYSTEM DISORDERS W MCC,14196.0
Fairfax Behaviroal Heath Everett,Snohomish,,57,DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC,7840.0
Fairfax Behaviroal Heath Everett,Snohomish,,58,MULTIPLE SCLEROSIS & CEREBELLAR ATAXIA W MCC,12657.0
Fairfax Behaviroal Heath Everett,Snohomish,,59,MULTIPLE SCLEROSIS & CEREBELLAR ATAXIA W CC,7061.0
Fairfax Behaviroal Heath Everett,Snohomish,,60,MULTIPLE SCLEROSIS & CEREBELLAR ATAXIA W/O CC/MCC,5709.0
Fairfax Behaviroal Heath Everett,Snohomish,,61,"ISCHEMIC STROKE, PRECEREBRAL OCCLUSION OR TRANSIENT ISCHEMIA W THROMBOLYTIC AGENT W MCC",18089.0
Fairfax Behaviroal Heath Everett,Snohomish,,62,"ISCHEMIC STROKE, PRECEREBRAL OCCLUSION OR TRANSIENT ISCHEMIA W THROMBOLYTIC AGENT W CC",13023.0
Fairfax Behaviroal Heath Everett,Snohomish,,63,"ISCHEMIC STROKE, PRECEREBRAL OCCLUSION OR TRANSIENT ISCHEMIA W THROMBOLYTIC AGENT W/O CC/MCC",10884.0
Fairfax Behaviroal Heath Everett,Snohomish,,64,INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W MCC,12140.0
Fairfax Behaviroal Heath Everett,Snohomish,,65,INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W CC OR TPA IN 24 HRS,6655.0
Fairfax Behaviroal Heath Everett,Snohomish,,66,INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W/O CC/MCC,4643.0
Fairfax Behaviroal Heath Everett,Snohomish,,67,NONSPECIFIC CVA & PRECEREBRAL OCCLUSION W/O INFARCT W MCC,9483.0
Fairfax Behaviroal Heath Everett,Snohomish,,68,NONSPECIFIC CVA & PRECEREBRAL OCCLUSION W/O INFARCT W/O MCC,5850.0
Fairfax Behaviroal Heath Everett,Snohomish,,69,TRANSIENT ISCHEMIA W/O THROMBOLYTIC,5053.0
Fairfax Behaviroal Heath Everett,Snohomish,,70,NONSPECIFIC CEREBROVASCULAR DISORDERS W MCC,10833.0
Fairfax Behaviroal Heath Everett,Snohomish,,71,NONSPECIFIC CEREBROVASCULAR DISORDERS W CC,6441.0
Fairfax Behaviroal Heath Everett,Snohomish,,72,NONSPECIFIC CEREBROVASCULAR DISORDERS W/O CC/MCC,4782.0
Fairfax Behaviroal Heath Everett,Snohomish,,73,CRANIAL & PERIPHERAL NERVE DISORDERS W MCC,9166.0
Fairfax Behaviroal Heath Everett,Snohomish,,74,CRANIAL & PERIPHERAL NERVE DISORDERS W/O MCC,6398.0
Fairfax Behaviroal Heath Everett,Snohomish,,75,VIRAL MENINGITIS W CC/MCC,10414.0
Fairfax Behaviroal Heath Everett,Snohomish,,76,VIRAL MENINGITIS W/O CC/MCC,5844.0
Fairfax Behaviroal Heath Everett,Snohomish,,77,HYPERTENSIVE ENCEPHALOPATHY W MCC,9988.0
Fairfax Behaviroal Heath Everett,Snohomish,,78,HYPERTENSIVE ENCEPHALOPATHY W CC,6229.0
Fairfax Behaviroal Heath Everett,Snohomish,,79,HYPERTENSIVE ENCEPHALOPATHY W/O CC/MCC,4799.0
Fairfax Behaviroal Heath Everett,Snohomish,,80,NONTRAUMATIC STUPOR & COMA W MCC,12409.0
Fairfax Behaviroal Heath Everett,Snohomish,,81,NONTRAUMATIC STUPOR & COMA W/O MCC,5692.0
Fairfax Behaviroal Heath Everett,Snohomish,,82,"TRAUMATIC STUPOR & COMA, COMA >1 HR W MCC",14581.0
Fairfax Behaviroal Heath Everett,Snohomish,,83,"TRAUMATIC STUPOR & COMA, COMA >1 HR W CC",8487.0
Fairfax Behaviroal Heath Everett,Snohomish,,84,"TRAUMATIC STUPOR & COMA, COMA >1 HR W/O CC/MCC",5810.0
Fairfax Behaviroal Heath Everett,Snohomish,,85,"TRAUMATIC STUPOR & COMA, COMA <1 HR W MCC",14542.0
Fairfax Behaviroal Heath Everett,Snohomish,,86,"TRAUMATIC STUPOR & COMA, COMA <1 HR W CC",8015.0
Fairfax Behaviroal Heath Everett,Snohomish,,87,"TRAUMATIC STUPOR & COMA, COMA <1 HR W/O CC/MCC",5434.0
Fairfax Behaviroal Heath Everett,Snohomish,,88,CONCUSSION W MCC,8995.0
Fairfax Behaviroal Heath Everett,Snohomish,,89,CONCUSSION W CC,6387.0
Fairfax Behaviroal Heath Everett,Snohomish,,90,CONCUSSION W/O CC/MCC,5493.0
Fairfax Behaviroal Heath Everett,Snohomish,,91,OTHER DISORDERS OF NERVOUS SYSTEM W MCC,10134.0
Fairfax Behaviroal Heath Everett,Snohomish,,92,OTHER DISORDERS OF NERVOUS SYSTEM W CC,6256.0
Fairfax Behaviroal Heath Everett,Snohomish,,93,OTHER DISORDERS OF NERVOUS SYSTEM W/O CC/MCC,4929.0
Fairfax Behaviroal Heath Everett,Snohomish,,94,BACTERIAL & TUBERCULOUS INFECTIONS OF NERVOUS SYSTEM W MCC,23213.0
Fairfax Behaviroal Heath Everett,Snohomish,,95,BACTERIAL & TUBERCULOUS INFECTIONS OF NERVOUS SYSTEM W CC,15587.0
Fairfax Behaviroal Heath Everett,Snohomish,,96,BACTERIAL & TUBERCULOUS INFECTIONS OF NERVOUS SYSTEM W/O CC/MCC,14648.0
Fairfax Behaviroal Heath Everett,Snohomish,,97,NON-BACTERIAL INFECT OF NERVOUS SYS EXC VIRAL MENINGITIS W MCC,23155.0
Fairfax Behaviroal Heath Everett,Snohomish,,98,NON-BACTERIAL INFECT OF NERVOUS SYS EXC VIRAL MENINGITIS W CC,12659.0
Fairfax Behaviroal Heath Everett,Snohomish,,99,NON-BACTERIAL INFECT OF NERVOUS SYS EXC VIRAL MENINGITIS W/O CC/MCC,8304.0
Fairfax Behaviroal Heath Everett,Snohomish,,100,SEIZURES W MCC,11786.0
Fairfax Behaviroal Heath Everett,Snohomish,,101,SEIZURES W/O MCC,5717.0
Fairfax Behaviroal Heath Everett,Snohomish,,102,HEADACHES W MCC,7722.0
Fairfax Behaviroal Heath Everett,Snohomish,,103,HEADACHES W/O MCC,5177.0
Fairfax Behaviroal Heath Everett,Snohomish,,113,ORBITAL PROCEDURES W CC/MCC,13806.0
Fairfax Behaviroal Heath Everett,Snohomish,,114,ORBITAL PROCEDURES W/O CC/MCC,7711.0
Fairfax Behaviroal Heath Everett,Snohomish,,115,EXTRAOCULAR PROCEDURES EXCEPT ORBIT,9622.0
Fairfax Behaviroal Heath Everett,Snohomish,,116,INTRAOCULAR PROCEDURES W CC/MCC,12245.0
Fairfax Behaviroal Heath Everett,Snohomish,,121,ACUTE MAJOR EYE INFECTIONS W CC/MCC,8209.0
Fairfax Behaviroal Heath Everett,Snohomish,,122,ACUTE MAJOR EYE INFECTIONS W/O CC/MCC,5003.0
Fairfax Behaviroal Heath Everett,Snohomish,,123,NEUROLOGICAL EYE DISORDERS,5056.0
Fairfax Behaviroal Heath Everett,Snohomish,,124,OTHER DISORDERS OF THE EYE W MCC,8997.0
Fairfax Behaviroal Heath Everett,Snohomish,,125,OTHER DISORDERS OF THE EYE W/O MCC,5112.0
Fairfax Behaviroal Heath Everett,Snohomish,,129,MAJOR HEAD & NECK PROCEDURES W CC/MCC OR MAJOR DEVICE,14824.0
Fairfax Behaviroal Heath Everett,Snohomish,,130,MAJOR HEAD & NECK PROCEDURES W/O CC/MCC,9361.0
Fairfax Behaviroal Heath Everett,Snohomish,,131,CRANIAL/FACIAL PROCEDURES W CC/MCC,17414.0
Fairfax Behaviroal Heath Everett,Snohomish,,132,CRANIAL/FACIAL PROCEDURES W/O CC/MCC,10292.0
Fairfax Behaviroal Heath Everett,Snohomish,,133,"OTHER EAR, NOSE, MOUTH & THROAT O.R. PROCEDURES W CC/MCC",13902.0
Fairfax Behaviroal Heath Everett,Snohomish,,134,"OTHER EAR, NOSE, MOUTH & THROAT O.R. PROCEDURES W/O CC/MCC",7829.0
Fairfax Behaviroal Heath Everett,Snohomish,,135,SINUS & MASTOID PROCEDURES W CC/MCC,14793.0
Fairfax Behaviroal Heath Everett,Snohomish,,136,SINUS & MASTOID PROCEDURES W/O CC/MCC,7706.0
Fairfax Behaviroal Heath Everett,Snohomish,,137,MOUTH PROCEDURES W CC/MCC,8634.0
Fairfax Behaviroal Heath Everett,Snohomish,,138,MOUTH PROCEDURES W/O CC/MCC,5578.0
Fairfax Behaviroal Heath Everett,Snohomish,,139,SALIVARY GLAND PROCEDURES,7992.0
