Run Date: 11/1/2021 5:00:40 PM
CDM Date Stamp: 5/22/2021
Diagnosis Related Group Code,Diagnosis Related Group Description,Price Tier,Revenue Code,CPT HCPCS DRG Code,CPT HCPCS DRG Desc,NDC Code,Rx Unit Multiplier,Gross Charge,Discounted Cash Price,De-identified minimum negotiated charge,De-identified maximum negotiated charge,AETNA,CIGNA,FIRST_CHOICE,PREMERA_BLUE_CROSS,REGENCE_,UHC_ALL_PAYER_DOCTORS_PLAN_NEXUS_ACO
181,RESPIRATORY NEOPLASMS WITH CC,Inpatient,NA,181,RESPIRATORY NEOPLASMS WITH CC,NA,NA,15800.7629,12640.6103,10257.3333,15800.7629,15010.7246,10257.3333,15800.7629,15010.7246,11125.3175,13430.6484
186,PLEURAL EFFUSION WITH MCC,Inpatient,NA,186,PLEURAL EFFUSION WITH MCC,NA,NA,17528.5900,14022.8720,7236.0000,17528.5900,16652.1605,7236.0000,17528.5900,16652.1605,12341.8802,14899.3015
189,PULMONARY EDEMA AND RESPIRATORY FAILURE,Inpatient,NA,189,PULMONARY EDEMA AND RESPIRATORY FAILURE,NA,NA,16739.5600,13391.6480,10854.0000,16739.5600,15902.5820,10854.0000,16739.5600,15902.5820,11786.3242,14228.6260
190,CHRONIC OBSTRUCTIVE PULMONARY DISEASE WITH MCC,Inpatient,NA,190,CHRONIC OBSTRUCTIVE PULMONARY DISEASE WITH MCC,NA,NA,27846.4956,22277.1965,16667.3333,27846.4956,26454.1707,16667.3333,27846.4956,26454.1707,19606.7176,23669.5212
191,CHRONIC OBSTRUCTIVE PULMONARY DISEASE WITH CC,Inpatient,NA,191,CHRONIC OBSTRUCTIVE PULMONARY DISEASE WITH CC,NA,NA,24584.2798,19667.4238,15678.0000,24584.2798,23355.0658,15678.0000,24584.2798,23355.0658,17309.7915,20896.6378
192,CHRONIC OBSTRUCTIVE PULMONARY DISEASE WITHOUT CC/MCC,Inpatient,NA,192,CHRONIC OBSTRUCTIVE PULMONARY DISEASE WITHOUT CC/MCC,NA,NA,18805.3400,15044.2720,10854.0000,18805.3400,17865.0730,10854.0000,18805.3400,17865.0730,13240.8399,15984.5390
194,SIMPLE PNEUMONIA AND PLEURISY WITH CC,Inpatient,NA,194,SIMPLE PNEUMONIA AND PLEURISY WITH CC,NA,NA,21919.3200,17535.4560,14472.0000,21919.3200,20823.3540,14472.0000,21919.3200,20823.3540,15433.3933,18631.4220
202,BRONCHITIS AND ASTHMA WITH CC/MCC,Inpatient,NA,202,BRONCHITIS AND ASTHMA WITH CC/MCC,NA,NA,24201.4500,19361.1600,14710.0000,24201.4500,22991.3775,14710.0000,24201.4500,22991.3775,17040.2409,20571.2325
280,"ACUTE MYOCARDIAL INFARCTION, DISCHARGED ALIVE WITH MCC",Inpatient,NA,280,"ACUTE MYOCARDIAL INFARCTION, DISCHARGED ALIVE WITH MCC",NA,NA,22847.8294,18278.2635,12364.6666,22847.8294,21705.4380,12364.6666,22847.8294,21705.4380,16087.1571,19420.6549
283,"ACUTE MYOCARDIAL INFARCTION, EXPIRED WITH MCC",Inpatient,NA,283,"ACUTE MYOCARDIAL INFARCTION, EXPIRED WITH MCC",NA,NA,4580.0500,3664.0400,3224.8132,4580.0500,4351.0475,3618.0000,4580.0500,4351.0475,3224.8132,3893.0425
291,HEART FAILURE AND SHOCK WITH MCC,Inpatient,NA,291,HEART FAILURE AND SHOCK WITH MCC,NA,NA,25355.0700,20284.0560,17852.5048,25355.0700,24087.3165,18090.0000,25355.0700,24087.3165,17852.5048,21551.8095
292,HEART FAILURE AND SHOCK WITH CC,Inpatient,NA,292,HEART FAILURE AND SHOCK WITH CC,NA,NA,17217.2875,13773.8300,6834.0000,17217.2875,16356.4233,6834.0000,17217.2875,16356.4233,12122.6923,14634.6945
293,HEART FAILURE AND SHOCK WITHOUT CC/MCC,Inpatient,NA,293,HEART FAILURE AND SHOCK WITHOUT CC/MCC,NA,NA,26293.1200,21034.4960,18512.9858,26293.1200,24978.4640,20594.0000,26293.1200,24978.4640,18512.9858,22349.1520
300,PERIPHERAL VASCULAR DISORDERS WITH CC,Inpatient,NA,300,PERIPHERAL VASCULAR DISORDERS WITH CC,NA,NA,15736.1000,12588.8800,3618.0000,15736.1000,14949.2950,3618.0000,15736.1000,14949.2950,11079.7880,13375.6850
303,ATHEROSCLEROSIS WITHOUT MCC,Inpatient,NA,303,ATHEROSCLEROSIS WITHOUT MCC,NA,NA,11489.0750,9191.2600,4751.0000,11489.0750,10914.6213,4751.0000,11489.0750,10914.6213,8089.4578,9765.7138
308,CARDIAC ARRHYTHMIA AND CONDUCTION DISORDERS WITH MCC,Inpatient,NA,308,CARDIAC ARRHYTHMIA AND CONDUCTION DISORDERS WITH MCC,NA,NA,21413.8500,17131.0800,10854.0000,21413.8500,20343.1575,10854.0000,21413.8500,20343.1575,15077.4918,18201.7725
309,CARDIAC ARRHYTHMIA AND CONDUCTION DISORDERS WITH CC,Inpatient,NA,309,CARDIAC ARRHYTHMIA AND CONDUCTION DISORDERS WITH CC,NA,NA,10506.9950,8405.5960,6898.0000,10506.9950,9981.6453,6898.0000,10506.9950,9981.6453,7397.9753,8930.9457
312,SYNCOPE AND COLLAPSE,Inpatient,NA,312,SYNCOPE AND COLLAPSE,NA,NA,23516.0900,18812.8720,14472.0000,23516.0900,22340.2855,14472.0000,23516.0900,22340.2855,16557.6790,19988.6765
313,CHEST PAIN,Inpatient,NA,313,CHEST PAIN,NA,NA,9335.7700,7468.6160,3618.0000,9335.7700,8868.9815,3618.0000,9335.7700,8868.9815,6573.3157,7935.4045
327,"STOMACH, ESOPHAGEAL AND DUODENAL PROCEDURES WITH CC",Inpatient,NA,327,"STOMACH, ESOPHAGEAL AND DUODENAL PROCEDURES WITH CC",NA,NA,18718.6700,14974.9360,8826.0000,18718.6700,17782.7365,8826.0000,18718.6700,17782.7365,13179.8155,15910.8695
335,PERITONEAL ADHESIOLYSIS WITH MCC,Inpatient,NA,335,PERITONEAL ADHESIOLYSIS WITH MCC,NA,NA,34577.9700,27662.3760,8826.0000,34577.9700,32849.0715,8826.0000,34577.9700,32849.0715,24346.3487,29391.2745
374,DIGESTIVE MALIGNANCY WITH MCC,Inpatient,NA,374,DIGESTIVE MALIGNANCY WITH MCC,NA,NA,24999.8000,19999.8400,14710.0000,24999.8000,23749.8100,14710.0000,24999.8000,23749.8100,17602.3592,21249.8300
390,GASTROINTESTINAL OBSTRUCTION WITHOUT CC/MCC,Inpatient,NA,390,GASTROINTESTINAL OBSTRUCTION WITHOUT CC/MCC,NA,NA,7984.6000,6387.6800,3618.0000,7984.6000,7585.3700,3618.0000,7984.6000,7585.3700,5621.9569,6786.9100
392,"ESOPHAGITIS, GASTROENTERITIS AND MISCELLANEOUS DIGESTIVE DISORDERS WITHOUT MCC",Inpatient,NA,392,"ESOPHAGITIS, GASTROENTERITIS AND MISCELLANEOUS DIGESTIVE DISORDERS WITHOUT MCC",NA,NA,12960.8200,10368.6560,8826.0000,12960.8200,12312.7790,8826.0000,12960.8200,12312.7790,9125.7133,11016.6970
394,OTHER DIGESTIVE SYSTEM DIAGNOSES WITH CC,Inpatient,NA,394,OTHER DIGESTIVE SYSTEM DIAGNOSES WITH CC,NA,NA,13841.0200,11072.8160,5884.0000,13841.0200,13148.9690,5884.0000,13841.0200,13148.9690,9745.4622,11764.8670
440,DISORDERS OF PANCREAS EXCEPT MALIGNANCY WITHOUT CC/MCC,Inpatient,NA,440,DISORDERS OF PANCREAS EXCEPT MALIGNANCY WITHOUT CC/MCC,NA,NA,16768.2930,13414.6344,10708.0000,16768.2930,15929.8783,10708.0000,16768.2930,15929.8783,11806.5553,14253.0490
442,"DISORDERS OF LIVER EXCEPT MALIGNANCY, CIRRHOSIS OR ALCOHOLIC HEPATITIS WITH CC",Inpatient,NA,442,"DISORDERS OF LIVER EXCEPT MALIGNANCY, CIRRHOSIS OR ALCOHOLIC HEPATITIS WITH CC",NA,NA,16406.3429,13125.0743,10787.3333,16406.3429,15586.0257,10787.3333,16406.3429,15586.0257,11551.7063,13945.3914
443,"DISORDERS OF LIVER EXCEPT MALIGNANCY, CIRRHOSIS OR ALCOHOLIC HEPATITIS WITHOUT CC/MCC",Inpatient,NA,443,"DISORDERS OF LIVER EXCEPT MALIGNANCY, CIRRHOSIS OR ALCOHOLIC HEPATITIS WITHOUT CC/MCC",NA,NA,7662.1100,6129.6880,5394.8917,7662.1100,7279.0045,5884.0000,7662.1100,7279.0045,5394.8917,6512.7935
470,MAJOR HIP AND KNEE JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY WITHOUT MCC,Inpatient,NA,470,MAJOR HIP AND KNEE JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY WITHOUT MCC,NA,NA,89218.7200,71374.9760,7236.0000,89218.7200,84757.7840,7236.0000,89218.7200,84757.7840,62818.9008,75835.9120
536,FRACTURES OF HIP AND PELVIS WITHOUT MCC,Inpatient,NA,536,FRACTURES OF HIP AND PELVIS WITHOUT MCC,NA,NA,13014.0828,10411.2662,8826.0000,13014.0828,12363.3787,8826.0000,13014.0828,12363.3787,9163.2160,11061.9703
560,"AFTERCARE, MUSCULOSKELETAL SYSTEM AND CONNECTIVE TISSUE WITH CC",Inpatient,NA,560,"AFTERCARE, MUSCULOSKELETAL SYSTEM AND CONNECTIVE TISSUE WITH CC",NA,NA,32472.7350,25978.1880,18885.0000,32472.7350,30849.0983,18885.0000,32472.7350,30849.0983,22864.0528,27601.8248
562,"FRACTURE, SPRAIN, STRAIN AND DISLOCATION EXCEPT FEMUR, HIP, PELVIS AND THIGH WITH MCC",Inpatient,NA,562,"FRACTURE, SPRAIN, STRAIN AND DISLOCATION EXCEPT FEMUR, HIP, PELVIS AND THIGH WITH MCC",NA,NA,20892.9800,16714.3840,14472.0000,20892.9800,19848.3310,14472.0000,20892.9800,19848.3310,14710.7472,17759.0330
596,MAJOR SKIN DISORDERS WITHOUT MCC,Inpatient,NA,596,MAJOR SKIN DISORDERS WITHOUT MCC,NA,NA,4676.4000,3741.1200,2942.0000,4676.4000,4442.5800,2942.0000,4676.4000,4442.5800,3292.6532,3974.9400
603,CELLULITIS WITHOUT MCC,Inpatient,NA,603,CELLULITIS WITHOUT MCC,NA,NA,16281.9860,13025.5888,8826.0000,16281.9860,15467.8866,8826.0000,16281.9860,15467.8866,11464.1468,13839.6880
638,DIABETES WITH CC,Inpatient,NA,638,DIABETES WITH CC,NA,NA,18640.8861,14912.7089,9952.6666,18640.8861,17708.8418,9952.6666,18640.8861,17708.8418,13125.0483,15844.7531
640,"MISCELLANEOUS DISORDERS OF NUTRITION, METABOLISM, FLUIDS AND ELECTROLYTES WITH MCC",Inpatient,NA,640,"MISCELLANEOUS DISORDERS OF NUTRITION, METABOLISM, FLUIDS AND ELECTROLYTES WITH MCC",NA,NA,21278.8500,17023.0800,10854.0000,21278.8500,20214.9075,10854.0000,21278.8500,20214.9075,14982.4383,18087.0225
641,"MISCELLANEOUS DISORDERS OF NUTRITION, METABOLISM, FLUIDS AND ELECTROLYTES WITHOUT MCC",Inpatient,NA,641,"MISCELLANEOUS DISORDERS OF NUTRITION, METABOLISM, FLUIDS AND ELECTROLYTES WITHOUT MCC",NA,NA,30931.0500,24744.8400,14472.0000,30931.0500,29384.4975,14472.0000,30931.0500,29384.4975,21778.5523,26291.3925
644,ENDOCRINE DISORDERS WITH CC,Inpatient,NA,644,ENDOCRINE DISORDERS WITH CC,NA,NA,20675.7000,16540.5600,14472.0000,20675.7000,19641.9150,14472.0000,20675.7000,19641.9150,14557.7604,17574.3450
645,ENDOCRINE DISORDERS WITHOUT CC/MCC,Inpatient,NA,645,ENDOCRINE DISORDERS WITHOUT CC/MCC,NA,NA,11440.9500,9152.7600,7236.0000,11440.9500,10868.9025,7236.0000,11440.9500,10868.9025,8055.5729,9724.8075
683,RENAL FAILURE WITH CC,Inpatient,NA,683,RENAL FAILURE WITH CC,NA,NA,15668.6950,12534.9560,11032.3282,15668.6950,14885.2603,11768.0000,15668.6950,14885.2603,11032.3282,13318.3908
690,KIDNEY AND URINARY TRACT INFECTIONS WITHOUT MCC,Inpatient,NA,690,KIDNEY AND URINARY TRACT INFECTIONS WITHOUT MCC,NA,NA,26837.9842,21470.3874,13954.4706,26837.9842,25496.0851,13954.4706,26837.9842,25496.0851,18896.6245,22812.2866
794,NEONATE WITH OTHER SIGNIFICANT PROBLEMS,Inpatient,NA,794,NEONATE WITH OTHER SIGNIFICANT PROBLEMS,NA,NA,2159.1772,1727.3418,1378.8000,2159.1772,2051.2184,1378.8000,2159.1772,2051.2184,1520.2768,1835.3005
795,NORMAL NEWBORN,Inpatient,NA,795,NORMAL NEWBORN,NA,NA,2152.3116,1721.8493,1319.2222,2152.3116,2044.6960,1319.2222,2152.3116,2044.6960,1515.4427,1829.4649
812,RED BLOOD CELL DISORDERS WITHOUT MCC,Inpatient,NA,812,RED BLOOD CELL DISORDERS WITHOUT MCC,NA,NA,16613.8600,13291.0880,2942.0000,16613.8600,15783.1670,2942.0000,16613.8600,15783.1670,11697.8188,14121.7810
841,LYMPHOMA AND NON-ACUTE LEUKEMIA WITH CC,Inpatient,NA,841,LYMPHOMA AND NON-ACUTE LEUKEMIA WITH CC,NA,NA,20333.9700,16267.1760,11768.0000,20333.9700,19317.2715,11768.0000,20333.9700,19317.2715,14317.1483,17283.8745
863,POSTOPERATIVE AND POST-TRAUMATIC INFECTIONS WITHOUT MCC,Inpatient,NA,863,POSTOPERATIVE AND POST-TRAUMATIC INFECTIONS WITHOUT MCC,NA,NA,20550.8600,16440.6880,5884.0000,20550.8600,19523.3170,5884.0000,20550.8600,19523.3170,14469.8605,17468.2310
871,SEPTICEMIA OR SEVERE SEPSIS WITHOUT MV >96 HOURS WITH MCC,Inpatient,NA,871,SEPTICEMIA OR SEVERE SEPSIS WITHOUT MV >96 HOURS WITH MCC,NA,NA,21038.8828,16831.1062,10403.3333,21038.8828,19986.9385,10403.3333,21038.8828,19986.9385,14813.4778,17883.0503
872,SEPTICEMIA OR SEVERE SEPSIS WITHOUT MV >96 HOURS WITHOUT MCC,Inpatient,NA,872,SEPTICEMIA OR SEVERE SEPSIS WITHOUT MV >96 HOURS WITHOUT MCC,NA,NA,32216.3749,25773.0999,19212.2500,32216.3749,30605.5562,19212.2500,32216.3749,30605.5562,22683.5497,27383.9187
884,ORGANIC DISTURBANCES AND INTELLECTUAL DISABILITY,Inpatient,NA,884,ORGANIC DISTURBANCES AND INTELLECTUAL DISABILITY,NA,NA,17813.7400,14250.9920,11768.0000,17813.7400,16923.0530,11768.0000,17813.7400,16923.0530,12542.6543,15141.6790
909,OTHER O.R. PROCEDURES FOR INJURIES WITHOUT CC/MCC,Inpatient,NA,909,OTHER O.R. PROCEDURES FOR INJURIES WITHOUT CC/MCC,NA,NA,3974.5800,3179.6640,2798.5018,3974.5800,3775.8510,2942.0000,3974.5800,3775.8510,2798.5018,3378.3930
918,POISONING AND TOXIC EFFECTS OF DRUGS WITHOUT MCC,Inpatient,NA,918,POISONING AND TOXIC EFFECTS OF DRUGS WITHOUT MCC,NA,NA,5068.6300,4054.9040,3568.8224,5068.6300,4815.1985,3618.0000,5068.6300,4815.1985,3568.8224,4308.3355
947,SIGNS AND SYMPTOMS WITH MCC,Inpatient,NA,947,SIGNS AND SYMPTOMS WITH MCC,NA,NA,15828.7050,12662.9640,8826.0000,15828.7050,15037.2697,8826.0000,15828.7050,15037.2697,11144.9912,13454.3992
948,SIGNS AND SYMPTOMS WITHOUT MCC,Inpatient,NA,948,SIGNS AND SYMPTOMS WITHOUT MCC,NA,NA,17626.2820,14101.0256,12348.8000,17626.2820,16744.9679,12348.8000,17626.2820,16744.9679,12410.6650,14982.3397
