Run Date: 11/2/2021 12:40:20 PM
CDM Date Stamp: 3/25/2021
Diagnosis Related Group Code,Diagnosis Related Group Description,Price Tier,Revenue Code,CPT HCPCS DRG Code,CPT HCPCS DRG Desc,NDC Code,Rx Unit Multiplier,Gross Charge,Discounted Cash Price,De-identified minimum negotiated charge,De-identified maximum negotiated charge,AETNA,AMERIGROUP,CIGNA,FIRST_CHOICE,KAISER_COMMERCIAL,MEDICAID,MOLINA_COMMERCIAL,PREMERA_FIRST,REGENCE_BLUE_SHIELD_UMP,UNITED_HEALTHCARE_COMM
438,DISORDERS OF PANCREAS EXCEPT MALIGNANCY WITH MCC,Inpatient,NA,438,DISORDERS OF PANCREAS EXCEPT MALIGNANCY WITH MCC,NA,NA,15188.0000,8657.1600,10292.6039,14124.8400,13365.4400,10292.6039,14124.8400,0.0000,12150.4000,0.0000,12150.4000,13669.2000,10631.6000,12150.4000
439,DISORDERS OF PANCREAS EXCEPT MALIGNANCY WITH CC,Inpatient,NA,439,DISORDERS OF PANCREAS EXCEPT MALIGNANCY WITH CC,NA,NA,16672.0000,9503.0400,11298.2809,15504.9600,14671.3600,11298.2809,15504.9600,0.0000,13337.6000,0.0000,13337.6000,15004.8000,11670.4000,13337.6000
440,DISORDERS OF PANCREAS EXCEPT MALIGNANCY WITHOUT CC/MCC,Inpatient,NA,440,DISORDERS OF PANCREAS EXCEPT MALIGNANCY WITHOUT CC/MCC,NA,NA,18366.9000,10469.1330,12446.8808,17081.2170,16162.8720,12446.8808,17081.2170,0.0000,14693.5200,0.0000,14693.5200,16530.2100,12856.8300,14693.5200
536,FRACTURES OF HIP AND PELVIS WITHOUT MCC,Inpatient,NA,536,FRACTURES OF HIP AND PELVIS WITHOUT MCC,NA,NA,18284.4000,10422.1080,12390.9722,17004.4920,16090.2720,12390.9722,17004.4920,0.0000,14627.5200,0.0000,14627.5200,16455.9600,12799.0800,14627.5200
563,"FRACTURE, SPRAIN, STRAIN AND DISLOCATION EXCEPT FEMUR, HIP, PELVIS AND THIGH WITHOUT MCC",Inpatient,NA,563,"FRACTURE, SPRAIN, STRAIN AND DISLOCATION EXCEPT FEMUR, HIP, PELVIS AND THIGH WITHOUT MCC",NA,NA,33103.5000,18868.9950,22433.5799,30786.2550,29131.0800,22433.5799,30786.2550,0.0000,26482.8000,0.0000,26482.8000,29793.1500,23172.4500,26482.8000
603,CELLULITIS WITHOUT MCC,Inpatient,NA,603,CELLULITIS WITHOUT MCC,NA,NA,34808.8000,19841.0160,23589.2276,32372.1840,30631.7440,23589.2276,32372.1840,0.0000,27847.0400,0.0000,27847.0400,31327.9200,24366.1600,27847.0400
605,"TRAUMA TO THE SKIN, SUBCUTANEOUS TISSUE AND BREAST WITHOUT MCC",Inpatient,NA,605,"TRAUMA TO THE SKIN, SUBCUTANEOUS TISSUE AND BREAST WITHOUT MCC",NA,NA,4538.5000,2586.9450,3075.6507,4220.8050,3993.8800,3075.6507,4220.8050,0.0000,3630.8000,0.0000,3630.8000,4084.6500,3176.9500,3630.8000
641,"MISCELLANEOUS DISORDERS OF NUTRITION, METABOLISM, FLUIDS AND ELECTROLYTES WITHOUT MCC",Inpatient,NA,641,"MISCELLANEOUS DISORDERS OF NUTRITION, METABOLISM, FLUIDS AND ELECTROLYTES WITHOUT MCC",NA,NA,17868.0000,10184.7600,12108.7862,16617.2400,15723.8400,12108.7862,16617.2400,0.0000,14294.4000,0.0000,14294.4000,16081.2000,12507.6000,14294.4000
683,RENAL FAILURE WITH CC,Inpatient,NA,683,RENAL FAILURE WITH CC,NA,NA,4388.6000,2501.5020,2974.0664,4081.3980,3861.9680,2974.0664,4081.3980,0.0000,3510.8800,0.0000,3510.8800,3949.7400,3072.0200,3510.8800
690,KIDNEY AND URINARY TRACT INFECTIONS WITHOUT MCC,Inpatient,NA,690,KIDNEY AND URINARY TRACT INFECTIONS WITHOUT MCC,NA,NA,16192.1000,9229.4970,10973.0623,15058.6530,14249.0480,10973.0623,15058.6530,0.0000,12953.6800,0.0000,12953.6800,14572.8900,11334.4700,12953.6800
812,RED BLOOD CELL DISORDERS WITHOUT MCC,Inpatient,NA,812,RED BLOOD CELL DISORDERS WITHOUT MCC,NA,NA,14939.4000,8515.4580,10124.1326,13893.6420,13146.6720,10124.1326,13893.6420,0.0000,11951.5200,0.0000,11951.5200,13445.4600,10457.5800,11951.5200
871,SEPTICEMIA OR SEVERE SEPSIS WITHOUT MV >96 HOURS WITH MCC,Inpatient,NA,871,SEPTICEMIA OR SEVERE SEPSIS WITHOUT MV >96 HOURS WITH MCC,NA,NA,34248.5000,19521.6450,23209.5235,31851.1050,30138.6800,23209.5235,31851.1050,0.0000,27398.8000,0.0000,27398.8000,30823.6500,23973.9500,27398.8000
872,SEPTICEMIA OR SEVERE SEPSIS WITHOUT MV >96 HOURS WITHOUT MCC,Inpatient,NA,872,SEPTICEMIA OR SEVERE SEPSIS WITHOUT MV >96 HOURS WITHOUT MCC,NA,NA,16038.2000,9141.7740,10868.7673,14915.5260,14113.6160,10868.7673,14915.5260,0.0000,12830.5600,0.0000,12830.5600,14434.3800,11226.7400,12830.5600
918,POISONING AND TOXIC EFFECTS OF DRUGS WITHOUT MCC,Inpatient,NA,918,POISONING AND TOXIC EFFECTS OF DRUGS WITHOUT MCC,NA,NA,20935.8000,11933.4060,14187.7729,19470.2940,18423.5040,14187.7729,19470.2940,0.0000,16748.6400,0.0000,16748.6400,18842.2200,14655.0600,16748.6400
947,SIGNS AND SYMPTOMS WITH MCC,Inpatient,NA,947,SIGNS AND SYMPTOMS WITH MCC,NA,NA,30948.4000,17640.5880,20973.1116,28782.0120,27234.5920,20973.1116,28782.0120,0.0000,24758.7200,0.0000,24758.7200,27853.5600,21663.8800,24758.7200
948,SIGNS AND SYMPTOMS WITHOUT MCC,Inpatient,NA,948,SIGNS AND SYMPTOMS WITHOUT MCC,NA,NA,18039.1000,10282.2870,12224.7373,16776.3630,15874.4080,12224.7373,16776.3630,0.0000,14431.2800,0.0000,14431.2800,16235.1900,12627.3700,14431.2800
951,OTHER FACTORS INFLUENCING HEALTH STATUS,Inpatient,NA,951,OTHER FACTORS INFLUENCING HEALTH STATUS,NA,NA,19733.2331,11247.9429,13372.8175,18351.9069,17365.2451,13372.8175,18351.9069,0.0000,15786.5863,0.0000,15786.5863,17759.9099,13813.2631,15786.5863
