drg_code,hospital_size,county,name,price
93930,Large,Whatcom,Ultrasound Study Of Arteries And Arterial Grafts Of Both Arms,1240.0
93931,Large,Whatcom,Ultrasound Study Of Arteries And Arterial Grafts Of One Arm Or Limited,1010.0
93970,Large,Whatcom,Ultrasound Scan Of Veins Of Both Arms Or Legs Including Assessment Of Compression And Functional Maneuvers,1554.0
93971,Large,Whatcom,Ultrasound Scan Of Veins Of One Arm Or Leg Or Limited Including Assessment Of Compression And Functional Maneuvers,1048.0
93978,Large,Whatcom,Ultrasound Scan Of Vena Cava Or Groin Graft Or Vessel Blood Flow,1299.0
93979,Large,Whatcom,"Ultrasound Scan Of Blood Flow Of Aorta, Vena Cava, Bypass Graphs, Or One Side Of The Groin Or Limited Scan",829.0
90935,Large,Whatcom,Hemodialysis Procedure With One Physician Evaluation,2676.0
92960,Large,Whatcom,Electric Cardioversion External,1843.0
93005,Large,Whatcom,"Routine Electrocardiogram (Ekg) With Tracing, Using At Least 12 Leads",265.0
93017,Large,Whatcom,Cardiovascular Stress Test Monitoring With Intrepretation And Report,1104.0
93303,Large,Whatcom,Ultrasound Examination Of Congenital Heart Defect,1842.0
93306,Large,Whatcom,"Ultrasound Examination Of Heart Including Color-Depicted Blood Flow Rate, Direction, And Valve Function",2263.0
93308,Large,Whatcom,Follow-Up Or Limited Ultrasound Examination Of Heart,935.0
93312,Large,Whatcom,Insertion Of Probe In Esophagus For Heart Ultrasound Examination Including Interpretation,2176.0
93351,Large,Whatcom,"Ultrasound Examination And Continuous Monitoring Of The Heart Performed During Rest, Exercise, And/Or Drug-Induced Stress With Interpretation And Report",1790.0
C8924,Large,Whatcom,"Transthoracic Echocardiography With Contrast, Or Without Contrast Followed By With Contrast, Without Spectral Or Color Doppler Echocardiography, Follow-Up",1626.0
C8929,Large,Whatcom,"Ultrasound Of Heart, With Contrast, Or Without Contrast Followed By With Contrast, Including Color-Depicted Blood Flow Rate, Direction, And Valve Function  With Contrast",3059.0
95816,Large,Whatcom,Measurement Of Brain Wave (Eeg) Activity Greater Than 1 Hour,1104.0
33208,Large,Whatcom,Insertion Of Permanent Pacemaker,34578.0
33227,Large,Whatcom,Removal And Replacement Of Single Lead Permanent Pacemaker Pulse Generator,25914.0
33228,Large,Whatcom,Removal/Replacement Of Lead Pacemaker,34578.0
33229,Large,Whatcom,Removal And Replacement Of Multiple Lead Permanent Pacemaker Pulse Generator,61877.0
33249,Large,Whatcom,Insertion Or Replacement Pacing Device,107297.0
33263,Large,Whatcom,"Removal And Replacement Of Defibrillator Pulse Generator, Dual Lead",76988.0
33264,Large,Whatcom,"Removal And Replacement Of Defibrillator Pulse Generator, Multi Lead",107297.0
93620,Large,Whatcom,"Insertion Of Catheters For Recording, Pacing, And Attempted Induction Of Abnormal Rhythm In Right Upper And Lower Heart",17841.0
93650,Large,Whatcom,Insertion Of Catheters For Creation Of Complete Heart Block,17841.0
93653,Large,Whatcom,Evaluation And Insertion Of Catheters For Creation Of Complete Heart Block,67248.0
93654,Large,Whatcom,"Evaluation And Insertion Of Catheters For Recording, Pacing, And Attempted Induction Of Heart Rhythm",67248.0
93656,Large,Whatcom,"Evaluation And Insertion Of Catheters For Recording, Pacing, And Treatment Of Abnormal Heart Rhythm",67248.0
93668,Large,Whatcom,Peripheral Arterial Disease (Pad) Rehabilitation Per Session,198.0
96360,Large,Whatcom,Hydration Infusion Into A Vein 31 Minutes To 1 Hour,689.0
96361,Large,Whatcom,Hydration Infusion Into A Vein,166.0
96365,Large,Whatcom,"Infusion Into A Vein For Therapy, Prevention, Or Diagnosis Up To 1 Hour",663.0
96367,Large,Whatcom,Infusion Into A Vein For Therapy Prevention Or Diagnosis Additional Sequential Infusion Up,239.0
96372,Large,Whatcom,"Injection Beneath The Skin Or Into Muscle For Therapy, Diagnosis, Or Prevention",209.0
96374,Large,Whatcom,"Injection Of Drug Or Substance Into A Vein For Therapy, Diagnosis, Or Prevention",353.0
96375,Large,Whatcom,"Injection Of Different Drug Or Substance Into A Vein For Therapy, Diagnosis, Or Prevention",196.0
96377,Large,Whatcom,Application Of On-Body Injector For Injection Under Skin,127.0
70553,Large,Whatcom,Mri Scan Brain Without And Then With Contrasst,4830.0
72148,Large,Whatcom,Mri Scan Lumbar Spine Without Contrast,2991.0
72197,Large,Whatcom,Mri Scan Of Pelvis Before And After Contrast,5264.0
73721,Large,Whatcom,Mri Scan Of Leg Joint Without Contrast,2675.0
75561,Large,Whatcom,Mri Of Heart Before And After Contrast,3418.0
59025,Large,Whatcom,Fetal Non-Stress Test,534.0
59412,Large,Whatcom,Turning Of Fetus From Breech To Presenting Position,7377.0
59820,Large,Whatcom,Treatment Of First Trimester Missed Abortion,7504.0
78227,Large,Whatcom,"Nuclear Imaging Of Liver And Bile Duct System, With Pharmaceutical",4633.0
78306,Large,Whatcom,Nuclear Imaging Bone And/Or Joint Imaging; Whole Body,2156.0
78451,Large,Whatcom,Nuclear Imaging Study Of Vessels Of Heart Using Drugs Or Exercise Single Study,4622.0
78452,Large,Whatcom,Nuclear Imaging Study Of Heart Vessles With Drugs Or Exercise,5165.0
78709,Large,Whatcom,Nuclear Imaging Study Of Kidney With Assessment Of Blood Flow And Function With And Without Pharm,3454.0
78803,Large,Whatcom,Nuclear Imaging Study Of Radioactive Material Distribution,3057.0
36415,Large,Whatcom,Blood Draw,60.0
36430,Large,Whatcom,Blood Transfusion,1340.0
36591,Large,Whatcom,Lab Blood Draw Cvc / Vad,241.0
36592,Large,Whatcom,Blood Collection From Established Picc,373.0
36593,Large,Whatcom,Declotting Infusion Of Central Venous,879.0
80048,Large,Whatcom,"Lab Blood Test, Total Calcium",140.0
80053,Large,Whatcom,"Lab Blood Test, Comprehensive Metabolic Panel",191.0
80061,Large,Whatcom,Lab Blood Test Lipid,162.0
80069,Large,Whatcom,Lab Blood Test Kidney Function,107.0
80076,Large,Whatcom,Lab Blood Test Liver Function,88.0
80158,Large,Whatcom,Lab Cyclosporine Level,247.0
81001,Large,Whatcom,Lab Automated Urinalysis Test With Examination Using Microscope,63.0
81002,Large,Whatcom,"Lab Urinalysis, Manual Test",58.0
81003,Large,Whatcom,Lab Automated Urinalysis Test Without Microspcope,59.0
81206,Large,Whatcom,Lab Translocation Analysis (Bcr/Abl1) Minor Breakpoint,463.0
81219,Large,Whatcom,"Lab Gene Analysis (Calreticulin), Common Variants",693.0
82728,Large,Whatcom,Lab Ferritin (Blood Protein) Level,141.0
83550,Large,Whatcom,Lab Iron Binding Capacity,146.0
83735,Large,Whatcom,Lab Magnesium Level,99.0
84153,Large,Whatcom,"Lab Prostate Specific Antigen Measurement, Total",148.0
84154,Large,Whatcom,"Lab Prostate Specific Antigen Measurement, Free",281.0
84443,Large,Whatcom,"Lab Blood Test, Thyroid Stimulating Hormone (Tsh)",177.0
84484,Large,Whatcom,"Lab Troponin (Protein) Analysis, Quant",279.0
84703,Large,Whatcom,Lab Gonadotropin (Reproductive Hormone) Analysis,154.0
85025,Large,Whatcom,"Lab Complete Blood Cell Count (Red Cells, White Blood Cell, Platelets), Automated Test With Wbc Diff",99.0
85027,Large,Whatcom,"Lab Complete Blood Cell Count (Red Cells, White Blood Cell, Platelets), Automated Test",70.0
85610,Large,Whatcom,Lab Prothrombin Time,77.0
85730,Large,Whatcom,"Lab Thromboplastin Time, Partial (Ptt), Plasma Or Whole Bld",102.0
86870,Large,Whatcom,Lab Identification Of Red Blood Cell Antibodies,334.0
86900,Large,Whatcom,Lab Blood Group Typing (Abo),90.0
86923,Large,Whatcom,Lab Blood Unit Compatibility Test Electric,327.0
87077,Large,Whatcom,Lab Bacterial Culture For Aerobic Isolates,179.0
87497,Large,Whatcom,"Lab Detection Test For Cytomegalovirus, Quantification",807.0
87502,Large,Whatcom,Lab Detection Test For Multiple Types Influenza Virus,333.0
87631,Large,Whatcom,Lab Detection Test For Multiple Types Of Respiratory Virus 3-5 Targets,580.0
88184,Large,Whatcom,"Lab Flow Cytometry Technique For Dna Or Cell Analysis, Tc 1 Marker",293.0
88305,Large,Whatcom,"Lab Pathology Examination Of Tissue Using A Microscope, Intermediate Complexity",346.0
88307,Large,Whatcom,"Lab Pathology Examination Of Tissue Using A Microscope, Moderately High Complexity",762.0
88309,Large,Whatcom,"Lab Pathology Examination Of Tissue Using A Microscope, High Complexity",1062.0
88333,Large,Whatcom,Lab Pathology Examination Of Tissue Specimen During Surgery,574.0
92507,Large,Whatcom,"Treatment Of Speech, Language, Voice, Communication, And/Or Hearing Processing",229.0
92522,Large,Whatcom,Evaluation Of Speech Sound Production,325.0
92523,Large,Whatcom,Evaluation Of Speech Sound Production With Evaluation Of Language Comprehension,305.0
92524,Large,Whatcom,Behavioral And Qualitative Analysis Of Voice And Resonance,358.0
92526,Large,Whatcom,Treatment Of Swallowing And/Or Oral Feeding Function,386.0
92610,Large,Whatcom,Evaluation Of Swallowing Function,379.0
97110,Large,Whatcom,"Therapeutic Exercise To Develop Strength, Endurance, Range Of Motion, And Flexibility,",125.0
97112,Large,Whatcom,"Therapeutic Procedure To Re-Educate Brain-To-Nerve-To-Muscle Function, Each 15 Minutes",125.0
97113,Large,Whatcom,"Water Pool Therapy With Therapeutic Exercises To 1 Or More Areas, Each 15 Minutes",147.0
97116,Large,Whatcom,"Walking Training To 1 Or More Areas, Each 15 Minutes",108.0
97140,Large,Whatcom,"Manual (Physical) Therapy Techniques To 1 Or More Regions, Each 15 Minutes",130.0
97161,Large,Whatcom,Physical Therapy Evaluation Typically 20 Minutes,303.0
97162,Large,Whatcom,Physical Therapy Evaluation Typically 30 Minutes,312.0
97163,Large,Whatcom,Physical Therapy Evaluation Typically 45 Minutes,363.0
97164,Large,Whatcom,"Re-Evaluation Of Physical Therapy, Typically 20 Minutes",206.0
97165,Large,Whatcom,"Evaluation Of Occupational Therapy, Typically 45 Minutes",325.0
97166,Large,Whatcom,"Evaluation Of Occupational Therapy, Typically 30 Minutes",364.0
97530,Large,Whatcom,"Therapeutic Activities To Improve Function, With One-On-One Contact Between Patient And Provider, Each 15 Minutes",146.0
97535,Large,Whatcom,"Self-Care Or Home Management Training, Each 15 Minutes",122.0
97542,Large,Whatcom,"Wheelchair Management, Each 15 Minutes",149.0
97760,Large,Whatcom,"Evaluation Of Orthotic Or Prosthetic Use, Each 15 Minutes",170.0
33270,Large,Whatcom,Insertion Or Replacement Of Defibrillator With Electrode,44517.0
33285,Large,Whatcom,Insertion Of Heart Rhythm Monitor Under Skin,27695.0
33286,Large,Whatcom,Removal Of Heart Rhythm Monitor From Under Skin,2528.0
36475,Large,Whatcom,"Destruction Of Insufficient Vein Of Arm Or Leg, Accessed Through The Skin",11452.0
36558,Large,Whatcom,Insertion Tunneled Central Venous Catheter Without Port Or Pump,8021.0
36561,Large,Whatcom,Insertion Tunneled Central Venous Catheter With Port Or Pump,12805.0
36573,Large,Whatcom,"Insertion Of Peripherally Inserted Central Venous Catheter For Infusion Using Imaging Guidance, Patient 5 Years Or Older",4091.0
36589,Large,Whatcom,Removal Tunneled Central Venous Catheter Without Port Or Pump,1132.0
36590,Large,Whatcom,Removal Tunneled Central Venous Catheter With Port Or Pump,2316.0
36600,Large,Whatcom,Lab Arterial Blood Collection,429.0
36901,Large,Whatcom,"Insertion Of Needle And/Or Catheter Into Dialysis Circuit, With Imaging Including Radiological Supervision And Interpretation",2421.0
36902,Large,Whatcom,Insertion Catheter Into Dialysis Circuit,17069.0
37221,Large,Whatcom,"Insertion Of Stents In Artery In One Side Of Groin, Endovascular, Accessed Through The Skin Or Open Procedure ",20897.0
37226,Large,Whatcom,"Insertion Of Stents Into Arteries In One Leg, Endovascular, Accessed Through The Skin Or Open Procedure",46565.0
37228,Large,Whatcom,"Balloon Dilation Of Artery Of One Leg, Endovascular, Accessed Through The Skin Or Open Procedure ",24277.0
37236,Large,Whatcom,"Insertion Of Intravascular Stents In Artery (Except Lower Extremity, Cervical Carotid, Extracranial Vertebral Or Intrathoracic Carotid, Intracranial, Or Coronary), Open Or Accessed Through The Skin, With Radiological Supervision And Interpretation ",17393.0
37242,Large,Whatcom,"Occlusion Of Artery (Other Than Hemorrhage Or Tumor) With Radiological Supervision And And Interpretation, Roadmapping, And Imaging Guidance",19480.0
92920,Large,Whatcom,"Balloon Dilation Of Narrowed Or Blocked Major Coronary Artery Or Branch (Accessed Through The Skin), Each Additional Artery Or Branch ",16375.0
92943,Large,Whatcom,"Insertion Of Stent, Removal Of Plaque And/Or Balloon Dilation Of Coronary Vessel, Chronic Occlusion Single",19867.0
93580,Large,Whatcom,"Transcatheter Based Closure Of Congenital Heart Defect With Implant, Accessed Through The Skin",33819.0
C9600,Large,Whatcom,"Percutaneous Transcatheter Placement Of Drug Eluting Intracoronary Stent(S), With Coronary Angioplasty When Performed; Single Major Coronary Artery Or Branch",33842.0
C9602,Large,Whatcom,Perc D-E Cor Stent Ather S,53741.0
47000,Large,Whatcom,"Needle Biopsy Of Liver, Accessed Through The Skin",3819.0
49083,Large,Whatcom,"Drainage Of Fluid From Abdominal Cavity, With Imaging Guidance",3126.0
38505,Large,Whatcom,Needle Biopsy Or Removal Of Lymph Nodes,1615.0
10060,Large,Whatcom,"Drainage Of Skin Abscess, Simple",482.0
10061,Large,Whatcom,"Drainage Of Skin Abscess, Complicated",932.0
10120,Large,Whatcom,"Removal Of Foreign Body From Tissue, Accessed Beneath The Skin Simple",824.0
12001,Large,Whatcom,"Repair Of Wound (2.5 Centimeters Or Less) Of The Scalp, Neck, Underarms, Trunk, Arms",482.0
12002,Large,Whatcom,"Repair Of Wound (2.6 To 7.5 Centimeters) Of The Scalp, Neck, Underarms, Genitals, Trunk, Arms And/Or Legs",482.0
12004,Large,Whatcom,"Repair Of Wound (7.6 To 12.5 Centimeters) Of The Scalp, Neck, Underarms, Genitals, Trunk, Arms And/Or Legs",482.0
12005,Large,Whatcom,"Repair Of Wound (12.6 To 20.0 Centimeters) Of The Scalp, Neck, Underarms, Genitals, Trunk, Arms And/Or Legs",540.0
12011,Large,Whatcom,"Repair Of Wound (2.5 Centimeters Or Less) Of The Face, Ears, Eyelids, Nose, Lips, And/Or",482.0
12013,Large,Whatcom,"Repair Of Wound (2.6 To 5.0 Centimeters) Of The Face, Ears, Eyelids, Nose, Lips, And/Or",482.0
55700,Large,Whatcom,Biopsy Of Prostate Gland,6836.0
20206,Large,Whatcom,"Needle Biopsy Of Muscle, Accessed Through The Skin",2272.0
20611,Large,Whatcom,Aspiration And/Or Injection Of Major Joint Or Joint Capsule With Recording And Reporting Using Ultrasound Guidance,598.0
29105,Large,Whatcom,Arm Splint,486.0
29125,Large,Whatcom,"Arm Splint, Forearm To Hand",374.0
29130,Large,Whatcom,Finger Splint,230.0
29515,Large,Whatcom,Short Leg Splint,486.0
30901,Large,Whatcom,"Control Nosebleed, Anterior, Simple",440.0
31575,Large,Whatcom,Diagnostic Exam Of Voice Box,578.0
62323,Large,Whatcom,Injection Of Substance Into Spinal Canal Of Lower Back Or Sacrum Using Imaging Guidance,1888.0
64400,Large,Whatcom,Injection Of Anesthetic Agent Trigeminal Nerve,915.0
64450,Large,Whatcom,"Injection Of Anesthetic Agent, Other Peripheral Nerve Or Branch",915.0
64483,Large,Whatcom,"Injection(S), Anesthetic Agent And/Or Steroid, Transforaminal Epidural, With Imaging Guidance (Fluoroscopy Or Ct); Lumbar Or Sacral, Single Level",1826.0
95992,Large,Whatcom,"Repositioning Maneuvers For Treatment Of Vertigo, Per Day",169.0
96105,Large,Whatcom,Assessment Of Expressive And Receptive Speech With Interpretation And Report Per Hour,441.0
51702,Large,Whatcom,Insertion Of Bladder Catheter,422.0
51798,Large,Whatcom,Ultrasound Measurement,156.0
94640,Large,Whatcom,Respiratory Inhaled Pressure Or Nonpressure Treatment To Relieve Airway Obstruction Or For Sputum Specimen,294.0
94644,Large,Whatcom,"Respiratory Inhaled Aerosol Treatment To Relieve Airway Obstruction, First Hour ",264.0
94660,Large,Whatcom,Initiation And Management Of Continued Pressured Respiratory Assistance By Mask Or Breathing Tube ,1011.0
94667,Large,Whatcom,Demonstration And/Or Evaluation Of Manual Maneuvers To Chest Wall To Assist Movement Of Lung Secretions,350.0
94668,Large,Whatcom,Manual Maneuvers To Chest Wall To Assist Movement Of Lung Secretions ,131.0
77290,Large,Whatcom,"Radiation Oncology Management Of Radiation Therapy, Simulation, Complex",2981.0
77295,Large,Whatcom,"Radiation Oncology Management Of Radiation Therapy, 3D",11964.0
77300,Large,Whatcom,Radiation Oncology Calculation Of Radiation Therapy,729.0
77301,Large,Whatcom,Radiation Oncology Management Of Modulation Radiotherapy Planning,9801.0
77307,Large,Whatcom,"Radiation Oncology Radiation Therapy Plan, Complex Teletherapy",1408.0
77331,Large,Whatcom,Radiation Oncology Special Radiation Therapy Planning,541.0
77334,Large,Whatcom,Radiation Oncology Radiation Treatment Devices,1792.0
77373,Large,Whatcom,Radiation Oncology Stereotactic Body Radiation Therapy 1 Or More Lesions Using Imaging Guidance,11895.0
77385,Large,Whatcom,"Radiation Oncology Radiation Therapy Delivery, Simple",3455.0
77386,Large,Whatcom,"Radiation Oncology Radiation Therapy Delivery, Complex",3462.0
77412,Large,Whatcom,Radiation Oncology Radiation Treatment Delivery 1 Mev >= Complex,1211.0
62302,Large,Whatcom,X-Ray Of Upper Spinal Canal With Radiological Supervision And Interpretation,1705.0
62304,Large,Whatcom,X-Ray Of Lower Spinal Canal With Radiological Supervision And Interpretation Lumbosacral,1887.0
62305,Large,Whatcom,X-Ray Of Lower Spinal Canal With Radiological Supervision And Interpretation 2 Or More Regions,18617.0
70360,Large,Whatcom,X-Ray Neck,363.0
71045,Large,Whatcom,"X-Ray Of Chest, 1 View",339.0
71046,Large,Whatcom,"X-Ray Of Chest, 2 Vies",368.0
71100,Large,Whatcom,"X-Ray Ribs 1 Side, 2 Views",413.0
71101,Large,Whatcom,"X-Ray Ribs 1 Side, 3 Or More Views",509.0
72020,Large,Whatcom,"X-Ray Cervical Spine, 1 View",353.0
72072,Large,Whatcom,"X-Ray Thoracic Spine, 3 Views",543.0
72100,Large,Whatcom,"X-Ray Lumbosacral Spine, 2 To 3 Views",486.0
72110,Large,Whatcom,"X-Ray Lumbosacral Spine, 4 Or More Views",590.0
72170,Large,Whatcom,"X-Ray Pelvis, 1 To 2 Views",399.0
73000,Large,Whatcom,X-Ray Collar Bone,381.0
73030,Large,Whatcom,"X-Ray Shoulder, 2 Or More Views",454.0
73060,Large,Whatcom,"X-Ray Upper Arm, 2 Views",403.0
73070,Large,Whatcom,"X-Ray Elbow, 2 Views",368.0
73080,Large,Whatcom,"X-Ray Elbow, 3 Or More Views",434.0
73090,Large,Whatcom,"X-Ray Forearm, 2 Views",393.0
73100,Large,Whatcom,"X-Ray Wrist, 2 Views",417.0
73130,Large,Whatcom,"X-Ray Hand, 3 Or More Views",475.0
73140,Large,Whatcom,"X-Ray Finger, 2 Or More Views",458.0
73501,Large,Whatcom,"X-Ray Hip And Pelvis, 1 View",340.0
73552,Large,Whatcom,"X-Ray Femur, 2 Or More Views",381.0
73560,Large,Whatcom,X-Ray Knee 1 Or 2 Views,398.0
73562,Large,Whatcom,X-Ray Knee 3 Views,474.0
73590,Large,Whatcom,"X-Ray Lower Leg, 2 Views",426.0
73600,Large,Whatcom,"X-Ray Ankle, 2 Views",383.0
73610,Large,Whatcom,"X-Ray Ankle, 3 Or More Views",473.0
73630,Large,Whatcom,"X-Ray Foot, 3 Or More Views",407.0
73660,Large,Whatcom,"X-Ray Toes, 2 Or More Views",408.0
74018,Large,Whatcom,"X-Ray Of Abdomen, 1 View",343.0
74230,Large,Whatcom,X-Ray Throat And/Or Esophagus,1135.0
75710,Large,Whatcom,"X-Ray Of Artery, 1 Side",9245.0
76000,Large,Whatcom,"X-Ray Imaging Guidance For Procedure, Up To 1 Hour",807.0
76098,Large,Whatcom,X-Ray Imaging Of Surgical Specimen,1741.0
90832,Large,Whatcom,"Psychotherapy, 30 Minutes With Patient And/Or Family Member ",204.0
90834,Large,Whatcom,"Psychotherapy, 45 Minutes With Patient And/Or Family Member ",268.0
90837,Large,Whatcom,"Psychotherapy, 60 Minutes With Patient And/Or Family Member  ",396.0
90846,Large,Whatcom,Family Psychotherapy With Out Patient,256.0
90847,Large,Whatcom,Family Psychotherapy Including Patient,266.0
99203,Large,Whatcom,"New Patient Office Or Other Outpatient Visit, Typically 30 Minutes",297.0
99204,Large,Whatcom,"New Patient Office Or Other Outpatient Visit, Typically 45 Minutes",445.0
99205,Large,Whatcom,"New Patient Office Or Other Outpatient Visit, Typically 60 Minutes",588.0
99243,Large,Whatcom,"Patient Office Consultation, Typically 40 Minutes",316.0
99244,Large,Whatcom,"Patient Office Consultation, Typically 60 Minutes",472.0
99385,Large,Whatcom,Initial New Patient Preventive Medicine Evaluation Age 18-39 Years,349.0
99386,Large,Whatcom,Initial New Patient Preventive Medicine Evaluation Age 40-64 Years,403.0
216,Large,Clark,Cardiac Valve & Oth Maj Cardiothoracic Proc W Card Cath W Mcc,311042.58
743,Large,Clark,Uterine & Adnexa Proc For Non-Malignancy W/O Cc/Mcc,31096.55
470,Large,Clark,Major Hip And Knee Joint Replacement Or Reattachment Of Lower Extremity W/O Mcc,54816.41
460,Large,Clark,Spinal Fusion Except Cervical W/O Mcc,103622.39
473,Large,Clark,Cervical Spinal Fusion W/O Cc/Mcc,65672.15
H0031,Large,Clark,"Mental Health Assessment, By Non-Physician",315.0
96125,Large,Clark,"Standardized Thought Processing Testing, Interpretation, And Report Per Hour",370.0
93451,Large,Clark,Insertion Of Catheter For Diagnostic Evaluation Of Right Heart Structures,13926.0
93452,Large,Clark,Insertion Of Catheter Into Left Heart For Diagnosis,12125.0
93454,Large,Clark,"Insertion Of Catheter For Imaging Of Heart Blood Vessels Or Grafts, Coronary Only",17489.0
93458,Large,Clark,Left Heart Cath With Coronary ,19631.0
93459,Large,Clark,Left Heart Cath With Coronary & Grafts,20273.0
93460,Large,Clark,Right And Left Heart Cath With Coronary,19631.0
93798,Large,Clark,Cardiac Rehab Phase 2 With Continuous Ecg,399.0
96402,Large,Clark,Hormonal Anti-Neoplastic Chemotherapy Administration Beneath The Skin Or Into Muscle,319.0
96413,Large,Clark,Infusion Of Chemotherapy Into A Vein Up To 1 Hour,1127.0
96416,Large,Clark,Prolonged Chemotherapy Infusion Into A Vein By Portable Or Implanted Pump More Than 8,1142.0
96523,Large,Clark,Irrigation Of Implanted Venous Access Drug Delivery Device,291.0
96549,Large,Clark,Chemotherapy Procedure,153.0
70450,Large,Clark,Ct Scan Head Or Brain Without Contrast,1548.0
70470,Large,Clark,Ct Scan Head Or Brain Before And After Contrast,3359.0
70480,Large,Clark,Ct Scan Of Cranial Cavity Without Contrast,1629.0
70486,Large,Clark,Ct Scan Of Face Without Contrast,1629.0
70490,Large,Clark,Ct Scan Of Neck Without Contrast,1629.0
70491,Large,Clark,Ct Scan Of Neck With Contrast,2921.0
70496,Large,Clark,Ct Scan Of Blood Vessels Of Head,2773.0
70498,Large,Clark,Ct Scan Of Neck Blood Vessels,3359.0
71250,Large,Clark,Ct Scan Chest Without Contrast,2036.0
71260,Large,Clark,Ct Scan Chest With Contrast,2921.0
71275,Large,Clark,Ct Scan Of Blood Vessels In Chest,2921.0
72125,Large,Clark,Ct Scan Of Cervical Spine Without Contrast,1629.0
72128,Large,Clark,Ct Scan Thoracic Spine Without Contrast,1629.0
72131,Large,Clark,Ct Scan Of Lumbar Spine Without Contrast,1941.0
72132,Large,Clark,Ct Scan Of Lumbar Spine With Contrast,5586.0
72192,Large,Clark,Ct Scan Of Pelvis Without Contrast,1890.0
72193,Large,Clark,Ct Scan Pelvis With Contrast,2358.0
73200,Large,Clark,Ct Scan Of Arm Without Contrast,1629.0
73700,Large,Clark,Ct Scan Leg Without Contrast,1629.0
